portfolio_value,cash,w_c,w_XLF,w_XLK,w_XLV,w_XLY,w_XLP,w_XLE,w_XLI,w_XLU,w_XLB,w_XLRE,w_XLC,s_XLF,s_XLK,s_XLV,s_XLY,s_XLP,s_XLE,s_XLI,s_XLU,s_XLB,s_XLRE,s_XLC
100000.0,12650.598167419434,0.12650598167419433,0.0621,0.06,0.0807,0.0599,0.0601,0.1635,0.0599,0.1637,0.1635,0.0,0.0,376,165,139,94,163,310,128,482,413,0,0
98146.56081008911,11411.508811950684,0.1162700834115995,0.1289,0.0573,0.0571,0.0574,0.0574,0.1561,0.1561,0.0574,0.156,0.0,0.0,782,157,97,90,154,303,335,168,397,0,0
97257.52483558655,11956.127842903137,0.1229326765524305,0.1643,0.0604,0.164,0.065,0.0601,0.1644,0.0604,0.0783,0.0601,0.0,0.0,1003,166,277,102,160,321,130,227,153,0,0
98268.74921703339,27399.858408927917,0.2788257571938096,0.0508,0.0508,0.0918,0.0506,0.0991,0.0508,0.0505,0.1383,0.1385,0.0,0.0,310,140,153,79,262,100,109,401,352,0,0
99459.31707286835,27239.79674053192,0.27387878322726494,0.07,0.0499,0.1356,0.0494,0.1358,0.0498,0.0499,0.1359,0.0497,0.0,0.0,426,136,225,77,358,97,107,396,125,0,0
98860.86012172699,12924.28749370575,0.13073209638063157,0.1754,0.0644,0.1172,0.0645,0.1753,0.0645,0.0646,0.0645,0.0789,0.0,0.0,1076,175,195,101,463,126,139,188,198,0,0
98300.74132823944,12331.938425064087,0.12545112334286554,0.1686,0.0618,0.0949,0.0619,0.1329,0.062,0.0617,0.1687,0.0619,0.0,0.0,1037,169,157,97,350,124,133,490,155,0,0
98113.85793399811,14319.800641059875,0.14595084672639116,0.0604,0.0604,0.1641,0.0601,0.1643,0.1641,0.0603,0.0602,0.0602,0.0,0.0,372,165,272,94,432,330,130,174,152,0,0
97849.87111759186,14049.400946617126,0.14358119010430936,0.0761,0.0708,0.0706,0.0704,0.0722,0.192,0.0708,0.0707,0.1628,0.0,0.0,474,194,117,111,190,384,153,202,415,0,0
97269.72438335419,12863.617712974548,0.13224688148880892,0.176,0.0645,0.0643,0.0642,0.0647,0.1758,0.0644,0.0646,0.1292,0.0,0.0,1104,178,107,102,169,354,139,182,328,0,0
