portfolio_value,cash,w_c,w_XLF,w_XLK,w_XLV,w_XLY,w_XLP,w_XLE,w_XLI,w_XLU,w_XLB,w_XLRE,w_XLC,s_XLF,s_XLK,s_XLV,s_XLY,s_XLP,s_XLE,s_XLI,s_XLU,s_XLB,s_XLRE,s_XLC
100000.0,11869.266073226929,0.11869266073226929,0.0816,0.0585,0.0584,0.0877,0.0586,0.1592,0.1594,0.0586,0.1593,0.0,0.0,748,231,175,209,226,342,515,248,531,0,0
99855.17728805542,14120.380432128906,0.1414085960850622,0.1905,0.0907,0.0699,0.083,0.1249,0.0699,0.0701,0.0895,0.0701,0.0,0.0,1746,360,209,197,482,150,226,378,235,0,0
100401.89373779297,29416.122787475586,0.2929837445526474,0.0569,0.0569,0.0568,0.0568,0.0569,0.1546,0.0569,0.1546,0.0568,0.0,0.0,518,228,170,135,220,330,183,653,189,0,0
100038.07385635376,32675.059747695923,0.3266262382721858,0.0598,0.0598,0.0723,0.0598,0.0598,0.0597,0.0596,0.1626,0.08,0.0,0.0,544,239,215,142,232,128,192,691,266,0,0
99862.24701690674,13789.375003814697,0.1380839648188584,0.0683,0.0684,0.0681,0.0921,0.1475,0.068,0.1479,0.093,0.1086,0.0,0.0,622,274,202,219,573,146,479,396,360,0,0
100178.33103370667,14506.788864135742,0.1448096480989955,0.1089,0.0673,0.0672,0.0672,0.0671,0.1827,0.0671,0.0781,0.1495,0.0,0.0,996,270,198,160,261,394,216,334,494,0,0
100770.89627838135,13895.438507080078,0.13789138551168273,0.1223,0.1041,0.0683,0.0899,0.0681,0.0684,0.1857,0.087,0.0683,0.0,0.0,1111,418,201,214,265,147,598,373,226,0,0
100733.86605548859,15112.92997264862,0.15002829301045353,0.0543,0.0903,0.1476,0.0778,0.0881,0.054,0.1359,0.1477,0.0543,0.0,0.0,494,362,434,185,341,116,439,632,180,0,0
100745.39826488495,14332.38028717041,0.14226337414922896,0.0702,0.0976,0.0701,0.07,0.0702,0.1905,0.0702,0.0821,0.1368,0.0,0.0,641,394,206,166,271,409,226,352,453,0,0
100919.19439792633,10192.49474811554,0.10099659246115596,0.135,0.0496,0.0495,0.1348,0.0496,0.0757,0.135,0.1349,0.1349,0.0,0.0,1230,202,146,318,191,162,434,578,447,0,0
100712.05732440948,12398.8267660141,0.12311164219469288,0.0607,0.0608,0.0607,0.0606,0.0608,0.165,0.1651,0.078,0.1651,0.0,0.0,552,246,179,143,234,351,532,335,550,0,0
101336.21587085724,11829.065423965454,0.11673087772529815,0.1112,0.0577,0.0575,0.157,0.0577,0.0682,0.1571,0.0599,0.1569,0.0,0.0,1017,234,169,369,222,145,504,258,522,0,0
101755.03658866882,12373.948404312134,0.12160526711156491,0.067,0.0598,0.0598,0.1057,0.0598,0.1627,0.1383,0.0625,0.1628,0.0,0.0,615,244,176,249,230,344,442,268,540,0,0
102310.02318382263,11573.1859664917,0.1131187894044155,0.073,0.0558,0.0556,0.1519,0.0558,0.152,0.135,0.0559,0.1519,0.0,0.0,667,228,164,359,216,320,432,239,502,0,0
102219.88624954224,14152.833164215088,0.13845479273636413,0.0688,0.0688,0.0688,0.0852,0.0714,0.1525,0.0688,0.0901,0.1871,0.0,0.0,629,278,203,201,276,322,220,386,621,0,0
102453.68095588684,15718.413497924805,0.1534197048975979,0.1042,0.0597,0.0596,0.0946,0.0595,0.0592,0.1398,0.1622,0.1079,0.0,0.0,949,246,175,222,230,125,445,693,358,0,0
