date,portfolio_value,cash,w_c,w_XLF,w_XLK,w_XLV,w_XLY,w_XLP,w_XLE,w_XLI,w_XLU,w_XLB,w_XLRE,w_XLC,s_XLF,s_XLK,s_XLV,s_XLY,s_XLP,s_XLE,s_XLI,s_XLU,s_XLB,s_XLRE,s_XLC
2012-01-03,100000.0,12514.62777709961,0.1251462777709961,0.1682,0.0617,0.0618,0.0616,0.0619,0.1681,0.0616,0.0619,0.168,0.0,0.0,1993,287,220,184,273,381,230,276,644,0,0
2012-01-04,100142.19714450836,10160.46620464325,0.10146038827150332,0.0502,0.0797,0.1365,0.0512,0.0989,0.0998,0.1323,0.1367,0.1132,0.0,0.0,598,370,489,152,438,226,492,614,431,0,0
2012-01-05,100326.65735340118,26910.15736103058,0.26822539563178516,0.0491,0.0802,0.1333,0.0488,0.1052,0.0487,0.0915,0.049,0.126,0.0,0.0,577,372,477,144,467,111,341,220,479,0,0
2012-01-06,100170.13895130157,13597.802079200745,0.13574706216401888,0.0823,0.067,0.067,0.067,0.1551,0.1821,0.1097,0.067,0.0671,0.0,0.0,972,310,239,197,692,417,409,302,255,0,0
2012-01-09,100422.180062294,10616.224234580994,0.10571593076345807,0.1417,0.1289,0.0521,0.0518,0.052,0.1414,0.1416,0.0747,0.1102,0.0,0.0,1670,599,186,153,232,323,525,337,419,0,0
2012-01-10,101358.43729305267,31477.9861907959,0.310561084320836,0.0569,0.0862,0.0805,0.0568,0.1423,0.0569,0.0569,0.0569,0.0961,0.0,0.0,665,403,288,168,639,130,210,259,362,0,0
2012-01-11,101415.84090518951,12946.355526924133,0.12765614731753075,0.0632,0.0631,0.0632,0.0896,0.0631,0.1238,0.063,0.1717,0.1717,0.0,0.0,730,294,226,265,285,287,232,785,641,0,0
2012-01-12,101671.9724817276,13629.486420631409,0.13405352613849297,0.0664,0.1804,0.0663,0.0663,0.0663,0.1074,0.0662,0.1804,0.0664,0.0,0.0,766,839,237,196,300,252,242,828,245,0,0
2012-01-13,101311.20367527008,33527.1563243866,0.33093236589953307,0.0607,0.0605,0.0607,0.0993,0.1163,0.0864,0.0607,0.064,0.0605,0.0,0.0,703,282,217,293,525,203,223,293,224,0,0
2012-01-17,101521.37442874908,20720.083621025085,0.2040957752750589,0.0684,0.1215,0.0719,0.0682,0.1859,0.068,0.0754,0.0684,0.0683,0.0,0.0,800,565,256,201,838,159,276,314,252,0,0
2012-01-18,102258.11909198761,11609.760319709778,0.11353387313203041,0.0562,0.1525,0.056,0.1526,0.0561,0.1174,0.0949,0.056,0.1447,0.0,0.0,652,704,200,446,254,272,347,259,532,0,0
2012-01-19,102686.36017513275,18342.39755153656,0.17862545249683984,0.0596,0.1621,0.0594,0.1619,0.1222,0.0596,0.0776,0.0596,0.0594,0.0,0.0,688,746,213,471,555,138,282,279,219,0,0
2012-01-20,102548.97280025482,31592.338927268982,0.3080707496583572,0.0564,0.0616,0.0562,0.0563,0.0563,0.0562,0.1532,0.1396,0.0562,0.0,0.0,646,283,201,165,255,130,559,652,208,0,0
2012-01-23,102638.77073001862,32154.865620613098,0.3132818660230584,0.0575,0.0574,0.0867,0.0573,0.0575,0.1563,0.0574,0.0994,0.0572,0.0,0.0,657,263,312,168,261,359,210,463,212,0,0
2012-01-24,102490.38387203217,12854.914416313171,0.12542556609372846,0.0621,0.1195,0.0621,0.062,0.0621,0.1686,0.1686,0.0696,0.1,0.0,0.0,710,547,223,181,283,388,615,326,370,0,0
2012-01-25,103448.93324375153,10745.38538646698,0.10387139866535083,0.1395,0.0864,0.0511,0.1394,0.0512,0.1395,0.0986,0.0511,0.1393,0.0,0.0,1606,396,184,408,233,320,359,238,512,0,0
2012-01-26,102998.2403306961,13537.034816741943,0.13142976786087443,0.0653,0.0653,0.0653,0.1538,0.0695,0.1775,0.0892,0.0975,0.0852,0.0,0.0,755,300,235,449,316,411,324,450,312,0,0
