date,portfolio_value,cash,w_c,w_XLF,w_XLK,w_XLV,w_XLY,w_XLP,w_XLE,w_XLI,w_XLU,w_XLB,w_XLRE,w_XLC,s_XLF,s_XLK,s_XLV,s_XLY,s_XLP,s_XLE,s_XLI,s_XLU,s_XLB,s_XLRE,s_XLC
2018-01-02,100000.0,9231.250188827515,0.09231250188827515,0.0931,0.0942,0.098,0.0884,0.0888,0.0891,0.089,0.0888,0.0891,0.0891,0.0,385,157,133,95,192,169,133,216,169,350,0
2018-01-03,100436.51131057739,9172.115787506104,0.09132252472552926,0.0893,0.1018,0.0985,0.0884,0.0884,0.0884,0.0885,0.0886,0.0883,0.0885,0.0,369,169,133,95,192,166,132,218,167,349,0
2018-01-04,100609.79995727539,9123.613082885742,0.09068314504909208,0.0895,0.1009,0.097,0.0886,0.0889,0.0888,0.0889,0.0889,0.0889,0.0889,0.0,367,167,131,95,193,166,132,221,167,357,0
2018-01-05,101080.8132724762,9247.996143341064,0.0914911133373246,0.0893,0.0991,0.0951,0.0889,0.0889,0.0889,0.0891,0.0908,0.0892,0.0891,0.0,367,163,128,95,193,167,132,227,167,359,0
2018-01-08,101354.88123130798,9300.390964508057,0.09176066166249144,0.0899,0.104,0.0967,0.0878,0.0884,0.0881,0.0879,0.0882,0.0886,0.0885,0.0,371,171,131,94,192,165,130,219,166,355,0
2018-01-09,101349.16677474976,9262.785369873047,0.09139478561732771,0.0891,0.0977,0.0971,0.0889,0.0892,0.089,0.0892,0.0901,0.089,0.0892,0.0,365,161,130,95,194,167,131,226,167,362,0
2018-01-10,101015.92859458923,9189.231687545776,0.0909681454736237,0.0894,0.1025,0.098,0.0882,0.0886,0.0886,0.0881,0.0887,0.0882,0.0886,0.0,362,169,131,94,193,166,129,224,166,364,0
2018-01-11,101600.86553001404,9382.615238189697,0.0923477884685733,0.0891,0.0987,0.0964,0.0891,0.0889,0.0888,0.0887,0.0898,0.0888,0.0892,0.0,361,163,129,94,195,164,129,229,166,371,0
2018-01-12,102002.8707485199,9264.014080047607,0.09082111132820281,0.0893,0.0983,0.096,0.089,0.089,0.0888,0.0892,0.0912,0.0892,0.0892,0.0,360,162,128,93,196,163,129,235,167,375,0
2018-01-16,101685.16718101501,9392.17908668518,0.09236528145708486,0.0893,0.097,0.0975,0.0886,0.0888,0.089,0.0886,0.0906,0.0889,0.0892,0.0,360,160,129,93,194,165,129,233,168,372,0
2018-01-17,102423.92256355286,9449.58943939209,0.09225959329500126,0.0896,0.0911,0.094,0.0893,0.0896,0.0892,0.0892,0.0971,0.0892,0.0895,0.0,361,149,124,94,195,165,130,250,169,374,0
2018-01-18,102115.32318878174,9372.069261550903,0.09177926454998976,0.089,0.0989,0.0973,0.0886,0.0892,0.0892,0.089,0.089,0.0889,0.0892,0.0,358,161,128,93,194,166,130,230,168,375,0
2018-01-19,102523.41540336609,9465.05588722229,0.0923209185919447,0.0893,0.0925,0.0965,0.089,0.0894,0.0893,0.0889,0.0945,0.0891,0.0892,0.0,358,151,127,93,193,167,130,246,168,374,0
2018-01-22,103202.5578250885,9576.462223052979,0.0927928766967532,0.0897,0.0934,0.0965,0.0884,0.089,0.089,0.089,0.0936,0.0893,0.0892,0.0,359,152,127,92,192,164,131,245,170,373,0
2018-01-23,103476.9330444336,9567.066385269165,0.09245602960769055,0.0895,0.0954,0.0958,0.0889,0.0894,0.0897,0.0894,0.0901,0.0896,0.0896,0.0,359,155,127,92,194,166,132,234,171,370,0
2018-01-24,103473.88990974426,9454.19358253479,0.09136791504389434,0.0894,0.0959,0.0984,0.0884,0.0891,0.0889,0.0887,0.0918,0.0889,0.0891,0.0,356,157,130,91,193,165,131,240,169,369,0
2018-01-25,103639.04266929626,9454.21015739441,0.0912224767220402,0.0891,0.0993,0.0975,0.089,0.089,0.0886,0.0886,0.09,0.0889,0.0888,0.0,356,163,128,92,193,166,131,232,168,369,0
2018-01-26,104450.20209312439,9513.536741256714,0.0910820328789288,0.0895,0.0964,0.0958,0.0892,0.0892,0.0889,0.089,0.0928,0.0891,0.0891,0.0,358,157,124,92,194,167,131,241,169,372,0
2018-01-29,103692.96341133118,9530.634706497192,0.09191206802231018,0.0891,0.1011,0.0962,0.0877,0.0886,0.0882,0.0883,0.0923,0.0882,0.0885,0.0,355,165,124,90,192,167,130,241,168,371,0
2018-01-30,102818.72067070007,9449.686208724976,0.09190628075396608,0.0887,0.1029,0.0942,0.088,0.0883,0.0882,0.0884,0.0928,0.0883,0.0884,0.0,355,168,123,90,191,169,130,240,168,369,0
2018-01-31,103046.76919746399,9348.011417388916,0.09071620090752902,0.0887,0.1016,0.0942,0.0885,0.0886,0.0886,0.0885,0.0933,0.0887,0.0888,0.0,355,165,125,91,193,170,130,239,169,364,0
2018-02-01,102639.77021026611,9390.248378753662,0.0914874259706248,0.0889,0.107,0.0953,0.0878,0.0881,0.0883,0.088,0.0883,0.0884,0.0884,0.0,351,173,126,91,192,167,129,229,170,368,0
2018-02-02,100750.79438209534,9233.62731552124,0.09164818374039709,0.0885,0.1064,0.0942,0.0876,0.088,0.0878,0.0878,0.0917,0.0882,0.0881,0.0,351,174,124,90,192,170,129,235,171,364,0
2018-02-05,97319.5360546112,8766.110668182373,0.09007554930454291,0.088,0.0879,0.088,0.0877,0.0878,0.0881,0.0881,0.1184,0.0878,0.0881,0.0,355,145,117,90,192,172,131,298,171,361,0
2018-02-06,98444.90144920349,9011.946989059448,0.09154305460612926,0.0884,0.0956,0.0879,0.0879,0.0882,0.0883,0.088,0.1079,0.088,0.0882,0.0,354,155,117,89,193,173,130,279,168,366,0
2018-02-07,97958.10243797302,8839.524200439453,0.09023780555607058,0.0881,0.1046,0.0883,0.0881,0.0883,0.0882,0.088,0.0998,0.0882,0.0882,0.0,351,171,117,89,193,175,129,258,169,366,0
2018-02-08,95046.05055046082,8645.071100234985,0.09095665785339747,0.0881,0.0931,0.0878,0.0871,0.0909,0.0877,0.0878,0.1108,0.0877,0.088,0.0,356,154,117,89,197,174,130,281,169,366,0
2018-02-09,96261.99586296082,8611.651243209839,0.08946055155005761,0.0881,0.0991,0.0872,0.0876,0.0922,0.0875,0.0877,0.1061,0.0876,0.0875,0.0,354,162,116,90,202,176,130,267,168,360,0
