window,best_agent_path,n_eval_episodes,val_reward,std_reward,Annual return,Cumulative returns,Annual volatility,Sharpe ratio,Calmar ratio,Stability,Max drawdown,Omega ratio,Sortino ratio,Skew,Kurtosis,Tail ratio,Daily value at risk (95%),Portfolio turnover (in %),final_portfolio_value_first_episode,val_reward_mean,val_reward_std
1,agent_1-2_seed=29922_test=2012_valrew=-8,1,-22.466716432510072,0.0,0.06578151254196563,0.06470429260253896,0.09995196939161326,0.6874562375909219,0.8737281035212111,0.9091306055418974,-0.07528831026134972,1.1221884654260794,1.0394076126761977,-0.09877359017855077,0.686481287733895,1.1548721629749807,-0.0098143783169794,40.89010016085471,106470,-10.255197095510145,1.1409106815585897
2,agent_2-3_seed=32342_test=2013_valrew=-23,1,3.9506191052813437,0.0,0.2063994300652061,0.20460418709754946,0.08921411523761992,2.1487229727100874,3.9403811404109224,0.9180931333981498,-0.05238057505363092,1.417473866070207,2.9211229593762833,-0.6409751657458006,1.624189345097514,0.8627454866306328,-0.009685679210154069,38.30318060141439,120460,-23.339374968824053,0.040960785549296136
3,agent_3-2_seed=2105_test=2014_valrew=5,1,25.173887325079548,0.0,0.10743710495292724,0.10654054569244376,0.08787901093020203,1.2054702568515507,1.683614586235174,0.9192198672395929,-0.06381336074853892,1.2274993142546244,1.5740057881402858,-0.45600469307563685,1.7002337262200933,0.9080260555079763,-0.00912793129054798,39.86958411794785,110654,4.341682727342723,1.5268663225695678
4,agent_4-2_seed=38018_test=2015_valrew=24,1,8.089364263263453,0.0,0.002822995956461405,0.0028005598831177814,0.11850017685028506,0.08315365336541336,0.02790457889479496,0.8940543959644391,-0.10116604759041815,1.014456921486377,0.11604876792125908,-0.36918143298379313,2.608454376107035,0.9877659483065254,-0.011865113152296125,37.94646120778991,100280,20.103118521484948,3.68516156013459
5,agent_5-3_seed=36717_test=2016_valrew=7,1,45.28697002329615,0.0,0.15545833540078413,0.1541340126132964,0.10288794255560202,1.4562818266535091,2.64423221029854,0.9067104294229648,-0.05879148389287358,1.2925611549780023,2.0126348552002042,-0.22075463956248986,1.8750013947021693,1.1142788819852911,-0.010490420219886826,41.04946027967957,115413,6.450571063192973,1.1309449469354926
6,agent_6-3_seed=53928_test=2017_valrew=46,1,14.739746416761301,0.0,0.1477818687176622,0.14590007690429685,0.05102990013165821,2.727236098083165,7.964640769491251,0.951447717971424,-0.018554743772467956,1.575437838006683,4.192819960479815,-0.10339104230792065,0.8625330024088274,1.160965778185788,-0.005152278694745905,31.5855089760146,114590,44.86870748951735,1.5623287956182788
7,agent_7-3_seed=64466_test=2018_valrew=18,1,-16.172919986652104,0.0,-0.03721869820816448,-0.036783869972229044,0.12594155448492858,-0.23799285124035452,-0.2617505723793828,0.888145566718566,-0.14219146827392407,0.958593934508493,-0.29640398618959024,-0.48013150895937834,2.962829154252284,0.7129283546456044,-0.015715136987251955,35.62388955690724,96322,16.525710733357286,1.315783098715184
8,agent_8-2_seed=61897_test=2019_valrew=-9,1,18.120687647261907,0.0,0.2627324621325817,0.26039678609848016,0.10702794842357495,2.23417586394863,5.398079457755554,0.90331956065248,-0.048671469953097395,1.487174114004626,2.8241693134507053,-0.4058062589870043,4.013433570857924,1.0810801186709267,-0.009523632155924515,19.070966371583765,126040,-17.494394333701997,7.443228417665685
9,agent_9-1_seed=39904_test=2020_valrew=20,1,-8.943730859914933,0.0,0.16367535422946755,0.16297558902740472,0.3380503744523255,0.6190530159242273,0.47831297550250335,0.7473560181987228,-0.34219300460648056,1.1335347143387677,0.7102689594720446,-0.5174805999415865,7.705809018303233,0.9946111973060586,-0.028887568372615524,28.320641431243352,116298,19.075470882881596,1.0286805940369412
10,agent_10-3_seed=63653_test=2021_valrew=-4,1,4.887162262370067,0.0,0.3330788719285087,0.3285241889953614,0.11664068322549942,2.524563666262038,6.546116600983984,0.895543226234088,-0.05088190330713659,1.5208507568302871,3.41614734287148,-0.4940073242559574,1.129304421691522,1.1008598733625592,-0.011209764876438832,8.907653305418853,132852,-6.5162822603717485,1.8953962362279089
