date,portfolio_value,cash,w_c,w_XLF,w_XLK,w_XLV,w_XLY,w_XLP,w_XLE,w_XLI,w_XLU,w_XLB,w_XLRE,w_XLC,s_XLF,s_XLK,s_XLV,s_XLY,s_XLP,s_XLE,s_XLI,s_XLU,s_XLB,s_XLRE,s_XLC
2017-01-03,100000.0,6131.486343383789,0.06131486343383789,0.1594,0.0583,0.0618,0.0586,0.1038,0.0582,0.1593,0.0613,0.1594,0.0585,0.0,796,131,102,78,251,110,295,166,378,252,0
2017-01-04,100687.31708908081,15504.446882247925,0.15398609606938596,0.0559,0.0559,0.0558,0.0559,0.1519,0.0556,0.1516,0.0556,0.0557,0.152,0.0,279,126,92,74,370,106,281,151,131,651,0
2017-01-05,100724.19849395752,14556.932130813599,0.1445226901625519,0.0522,0.0813,0.0518,0.0521,0.1421,0.0523,0.0522,0.1419,0.0877,0.1419,0.0,263,183,85,69,345,100,97,385,207,605,0
2017-01-06,100944.45598983765,15126.86113357544,0.1498533127475401,0.0542,0.054,0.0537,0.0537,0.0967,0.0538,0.1473,0.135,0.0542,0.1475,0.0,273,121,88,71,235,103,273,366,128,630,0
2017-01-09,100377.17302513123,15186.592098236084,0.15129527601294218,0.0546,0.0674,0.0807,0.054,0.1485,0.0544,0.0544,0.1318,0.0545,0.1485,0.0,275,150,131,71,362,105,101,360,128,635,0
2017-01-10,100111.94505691528,16220.885210037231,0.16202747035646337,0.1102,0.0585,0.0583,0.0582,0.0585,0.0586,0.0585,0.1592,0.0585,0.1594,0.0,553,130,94,76,143,114,108,435,137,688,0
2017-01-11,100394.47371673584,7613.57190322876,0.07583656372073368,0.1889,0.0695,0.0691,0.0688,0.1656,0.0695,0.0804,0.0693,0.0695,0.0735,0.0,944,154,113,90,405,134,148,188,162,320,0
2017-01-12,100159.83586502075,16468.737255096436,0.16442456312818182,0.0597,0.0596,0.0595,0.0597,0.1626,0.0595,0.0933,0.0596,0.0597,0.1625,0.0,300,132,97,78,397,115,172,161,139,703,0
2017-01-13,100211.68929290771,6789.3967361450195,0.06775054670818254,0.0598,0.0597,0.0596,0.0592,0.1626,0.0598,0.1627,0.0823,0.1628,0.0638,0.0,299,132,97,77,397,116,299,223,380,277,0
2017-01-17,100235.81405639648,14367.760000228882,0.1433395851122138,0.14,0.0784,0.0666,0.0516,0.1412,0.0519,0.0826,0.0519,0.0516,0.141,0.0,718,174,109,67,340,100,153,139,121,607,0
2017-01-18,100481.85208320618,15028.51748085022,0.14956449517277537,0.0869,0.0541,0.0536,0.0536,0.1467,0.0537,0.0541,0.1469,0.0539,0.147,0.0,443,120,88,70,353,104,100,395,126,633,0
2017-01-19,100035.52047920227,16420.43542289734,0.16414604876586017,0.0596,0.0596,0.0595,0.0591,0.1618,0.0593,0.0596,0.0959,0.0594,0.162,0.0,304,132,98,77,389,115,109,259,139,701,0
2017-01-20,100397.63614463806,13606.132150650024,0.13552243531957586,0.1328,0.057,0.0483,0.0483,0.1327,0.0485,0.1177,0.0979,0.0485,0.1327,0.0,676,126,80,63,318,94,216,265,113,573,0
2017-01-23,100223.99818611145,16320.673944473267,0.16284197637143263,0.0708,0.0586,0.0584,0.0584,0.16,0.0588,0.0945,0.0589,0.0586,0.1602,0.0,362,129,97,76,383,115,174,160,136,686,0
2017-01-24,100779.08648490906,10173.80673789978,0.10095156736138142,0.0575,0.0668,0.0571,0.057,0.1087,0.0576,0.1565,0.1516,0.0919,0.0943,0.0,292,147,96,74,260,112,287,414,209,406,0
2017-01-25,101227.75229072571,15558.023693084717,0.15369326435701283,0.0554,0.0553,0.055,0.0548,0.1503,0.055,0.0779,0.055,0.137,0.1505,0.0,278,121,92,71,361,107,142,151,311,655,0
2017-01-26,101177.73808479309,5803.87159538269,0.05736312854235478,0.1501,0.0552,0.0552,0.116,0.0767,0.0551,0.1497,0.15,0.0796,0.0551,0.0,751,121,93,150,185,107,272,411,180,240,0
2017-01-27,100959.70093536377,11463.863813400269,0.11354890819991277,0.0577,0.155,0.0689,0.078,0.157,0.0577,0.0573,0.0578,0.0825,0.1144,0.0,289,338,115,101,380,113,104,158,187,501,0
2017-01-30,100430.55518722534,16762.516555786133,0.1669065407886773,0.0603,0.0599,0.06,0.0597,0.1636,0.06,0.0599,0.0857,0.0602,0.1639,0.0,303,131,100,77,394,119,109,233,137,718,0
2017-01-31,100709.9343509674,17355.651391983032,0.17233306231240053,0.0623,0.0622,0.062,0.0618,0.1606,0.0624,0.0624,0.0622,0.0622,0.1696,0.0,316,137,102,80,386,124,115,167,143,739,0
2017-02-01,100358.27004432678,15452.435159683228,0.1539727134879678,0.1523,0.056,0.056,0.0557,0.135,0.0556,0.056,0.0713,0.0558,0.1524,0.0,769,122,91,72,326,111,103,194,127,669,0
2017-02-02,100659.66885757446,13722.59003829956,0.1363265962827272,0.1334,0.0868,0.049,0.0486,0.0488,0.0487,0.1331,0.1332,0.0488,0.1333,0.0,678,190,80,63,117,97,246,360,112,580,0
2017-02-03,101289.65977859497,5640.092987060547,0.05568281105286563,0.144,0.0539,0.0961,0.1063,0.0763,0.0529,0.1436,0.0744,0.144,0.0529,0.0,722,118,157,139,183,105,265,202,332,230,0
2017-02-06,101049.8285369873,5601.559688568115,0.05543363872723222,0.1445,0.0591,0.0528,0.0528,0.1442,0.053,0.0963,0.1444,0.1444,0.0531,0.0,726,129,86,69,347,106,177,392,333,232,0
2017-02-07,101006.44153213501,14428.986083984375,0.14285213759751966,0.0514,0.0768,0.0793,0.0757,0.14,0.0513,0.0512,0.14,0.0512,0.1401,0.0,259,167,129,99,334,104,94,379,119,613,0
2017-02-08,101354.0394191742,15585.84510421753,0.15377625986625446,0.0558,0.0556,0.0557,0.0559,0.1518,0.0557,0.0559,0.1521,0.0559,0.1519,0.0,284,121,91,73,362,113,103,409,130,661,0
2017-02-09,101607.15405464172,5484.209796905518,0.0539746423165858,0.1395,0.1181,0.0508,0.1369,0.1395,0.0512,0.1396,0.068,0.051,0.0513,0.0,702,257,83,178,332,103,256,185,119,223,0
2017-02-10,102067.91014289856,15952.887731552124,0.15629679993660628,0.0566,0.0564,0.0562,0.0562,0.1536,0.0564,0.1417,0.0564,0.0564,0.1538,0.0,285,123,92,73,367,113,259,153,131,667,0
2017-02-13,102508.15754318237,15491.89799118042,0.1511284405307386,0.0769,0.0546,0.1481,0.0545,0.1483,0.0542,0.0545,0.0545,0.0545,0.1486,0.0,385,119,242,71,356,109,99,148,126,644,0
2017-02-14,102674.37910270691,16543.05340576172,0.16112153343740626,0.0581,0.0579,0.0807,0.0578,0.1577,0.0578,0.0577,0.0953,0.0578,0.1579,0.0,288,126,131,75,379,116,105,261,134,689,0
2017-02-15,102939.07404708862,7116.0948486328125,0.06912919039253854,0.1623,0.0685,0.0658,0.1152,0.1801,0.0664,0.0661,0.0661,0.0739,0.0663,0.0,800,149,106,149,430,134,120,182,172,291,0
2017-02-16,102874.62070083618,15318.133644104004,0.14890099754194763,0.0539,0.054,0.0887,0.0539,0.1464,0.0538,0.0535,0.1466,0.0538,0.1466,0.0,266,117,143,70,349,110,97,399,125,640,0
2017-02-17,103016.84809875488,13243.091220855713,0.12855267332738143,0.1089,0.1026,0.0465,0.0848,0.1268,0.0466,0.0557,0.1266,0.0463,0.1266,0.0,538,222,75,110,301,96,101,345,108,552,0
2017-02-21,103708.36986541748,15919.73941040039,0.15350486591448176,0.0555,0.0605,0.0551,0.0555,0.1511,0.0553,0.0556,0.151,0.0555,0.1513,0.0,275,131,89,72,358,114,101,410,130,655,0
2017-02-22,103633.64772987366,14956.837993621826,0.14432414878039979,0.0526,0.0828,0.0526,0.0524,0.1428,0.0526,0.1429,0.0581,0.0758,0.143,0.0,260,179,85,68,338,110,260,157,177,621,0
2017-02-23,103713.6443862915,12980.24259185791,0.12515462809803252,0.058,0.0578,0.0585,0.0574,0.1578,0.0576,0.0595,0.1577,0.0894,0.1211,0.0,287,125,94,75,373,120,109,422,210,523,0
2017-02-24,104095.01058769226,15411.369590759277,0.14805099210568168,0.0536,0.0641,0.0736,0.0536,0.1459,0.0535,0.0623,0.1459,0.0535,0.1459,0.0,268,139,118,70,345,113,114,386,126,629,0
2017-02-27,104143.48688316345,14913.270729064941,0.1431992645473437,0.1408,0.053,0.052,0.0513,0.1406,0.0516,0.0608,0.1101,0.0559,0.1407,0.0,701,115,83,67,334,108,111,293,132,604,0
2017-02-28,104090.80868339539,11571.584985733032,0.11116817259945966,0.1311,0.0932,0.0481,0.0479,0.1311,0.0481,0.131,0.099,0.0479,0.1113,0.0,653,203,77,63,311,101,240,261,113,479,0
2017-03-01,105094.83967590332,16012.164125442505,0.15235918504487575,0.0694,0.0632,0.0544,0.1334,0.1494,0.0549,0.0638,0.0551,0.0547,0.1495,0.0,339,137,87,175,356,114,116,148,128,651,0
2017-03-02,104688.31575393677,15904.706560134888,0.15192437136459325,0.0552,0.0552,0.0551,0.0565,0.1499,0.055,0.0661,0.1499,0.0552,0.15,0.0,273,120,88,74,356,115,121,398,130,653,0
2017-03-03,104578.70914840698,15447.38833808899,0.14771064267170958,0.0535,0.0535,0.1327,0.0534,0.1453,0.0531,0.0837,0.0782,0.0535,0.1454,0.0,263,116,211,70,346,111,153,208,126,634,0
2017-03-06,104267.63102722168,14930.237628936768,0.14319149175873053,0.1409,0.0517,0.0515,0.0755,0.1409,0.0514,0.1007,0.0515,0.0517,0.1409,0.0,696,112,82,99,336,107,184,137,122,615,0
2017-03-07,103982.61836242676,14684.903045654297,0.14122459384962519,0.051,0.051,0.0507,0.0503,0.1386,0.0506,0.1385,0.1387,0.0507,0.1387,0.0,252,110,81,66,330,106,253,368,120,606,0
2017-03-08,103392.8699684143,17432.360748291016,0.16860312276481407,0.0611,0.0611,0.0607,0.0731,0.1661,0.0608,0.0609,0.0609,0.0607,0.166,0.0,300,131,96,95,394,130,111,163,143,732,0
2017-03-09,103229.56816482544,15679.606269836426,0.1518906506012016,0.1202,0.0565,0.0547,0.0724,0.1497,0.0547,0.0678,0.0676,0.0547,0.1498,0.0,587,121,86,94,354,116,124,181,129,668,0
2017-03-10,103457.58936309814,14633.703433990479,0.14144639870383557,0.13,0.0511,0.051,0.087,0.139,0.0512,0.0895,0.0695,0.051,0.1392,0.0,637,109,80,113,328,109,163,185,120,623,0
2017-03-13,103575.47656059265,15983.979015350342,0.15432204172383954,0.0558,0.0557,0.0553,0.0555,0.1517,0.0559,0.0559,0.1521,0.0558,0.152,0.0,273,119,87,72,358,119,102,404,131,680,0
2017-03-14,103272.59693336487,10873.710290908813,0.10529134168984747,0.0801,0.0633,0.0547,0.0549,0.1491,0.055,0.1492,0.126,0.0546,0.1079,0.0,392,135,86,71,352,118,274,334,129,482,0
2017-03-15,104333.85550498962,15595.020233154297,0.14947228929356,0.0535,0.0533,0.0535,0.0785,0.1458,0.0533,0.1455,0.0592,0.0622,0.1459,0.0,265,114,84,102,345,113,267,156,146,646,0
2017-03-16,104058.55592155457,14116.152559280396,0.13565585678434725,0.0491,0.0492,0.0487,0.1033,0.1336,0.0493,0.1338,0.1143,0.0492,0.1338,0.0,242,105,77,134,315,105,246,304,116,592,0
2017-03-17,104159.59258460999,8031.32804107666,0.07710598555339705,0.0887,0.0746,0.0748,0.0748,0.2037,0.0749,0.0749,0.0748,0.1068,0.0749,0.0,442,159,119,97,482,160,137,198,251,331,0
2017-03-20,104095.56817626953,14077.262704849243,0.13523402534305404,0.0914,0.0484,0.0483,0.0485,0.1326,0.0487,0.1326,0.1326,0.0488,0.1327,0.0,459,103,77,63,313,104,243,353,114,586,0
2017-03-21,103481.34414482117,11589.268114089966,0.11199379182658174,0.0633,0.0689,0.047,0.1285,0.129,0.0472,0.1189,0.1207,0.0474,0.1169,0.0,325,148,75,168,303,101,220,315,112,514,0
2017-03-22,103641.05778694153,6471.287523269653,0.062439419873279375,0.1168,0.0599,0.0601,0.0596,0.1634,0.0601,0.1636,0.06,0.1339,0.0601,0.0,602,128,96,78,385,129,302,156,316,264,0
2017-03-23,103645.33744621277,14740.053939819336,0.14221627622630642,0.0717,0.0513,0.0512,0.0789,0.1402,0.0515,0.1017,0.1196,0.0515,0.1401,0.0,369,110,82,103,331,111,188,312,121,611,0
2017-03-24,103569.43302154541,5797.301330566406,0.05597502237325564,0.1451,0.0533,0.0575,0.0938,0.1451,0.0532,0.1447,0.0531,0.1448,0.0534,0.0,747,114,92,122,343,115,268,138,343,233,0
2017-03-27,103398.35478973389,16419.113534927368,0.1587947271338748,0.0574,0.0571,0.0941,0.0785,0.1562,0.0572,0.0571,0.0703,0.0572,0.1561,0.0,296,122,150,102,369,124,106,183,135,685,0
2017-03-28,103922.66175079346,14853.918615341187,0.14293243037751366,0.0692,0.0516,0.1081,0.0517,0.1405,0.0517,0.0515,0.1406,0.0516,0.1407,0.0,354,110,173,67,333,111,95,368,121,617,0
2017-03-29,104036.84770202637,5994.571020126343,0.05761969102808162,0.1504,0.0592,0.0549,0.1109,0.1503,0.0551,0.1505,0.0552,0.1006,0.0553,0.0,775,126,88,143,356,117,278,145,236,242,0
2017-03-30,104308.77449417114,16079.479661941528,0.15415270421799523,0.0557,0.0554,0.0585,0.0551,0.1513,0.0555,0.0559,0.1514,0.0557,0.1515,0.0,284,118,94,71,360,118,103,402,131,663,0
2017-03-31,104273.8470954895,14806.766193389893,0.14199884828101234,0.1239,0.0515,0.0515,0.0559,0.1404,0.0515,0.14,0.0514,0.0515,0.1402,0.0,637,110,83,72,335,110,259,136,121,611,0
2017-04-03,104154.92507171631,14713.807363510132,0.14126847437486878,0.0507,0.0506,0.0504,0.0542,0.1378,0.0506,0.1377,0.1382,0.0505,0.1381,0.0,261,108,81,70,329,108,255,365,119,600,0
2017-04-04,104281.68836784363,16270.848613739014,0.15602785942959765,0.081,0.0562,0.0565,0.0563,0.1536,0.0565,0.0563,0.1172,0.0566,0.1538,0.0,418,120,91,73,366,120,104,309,133,671,0
2017-04-05,104183.95155143738,14636.102800369263,0.14048327580609352,0.0506,0.0504,0.0558,0.0501,0.1379,0.0508,0.1376,0.1378,0.0506,0.1378,0.0,263,108,90,65,329,108,255,361,119,600,0
2017-04-06,104400.98120117188,5629.153205871582,0.05391858525759139,0.1404,0.0512,0.0514,0.1134,0.1402,0.0515,0.1404,0.1026,0.1033,0.0516,0.0,726,110,83,147,335,109,260,270,242,224,0
2017-04-07,104296.47778701782,15371.162372589111,0.147379496400428,0.0665,0.0531,0.0528,0.0531,0.1445,0.0528,0.1402,0.092,0.0529,0.1447,0.0,345,114,85,69,344,112,259,243,124,626,0
2017-04-10,104521.91849708557,10161.707635879517,0.09722082967854115,0.099,0.058,0.0582,0.1148,0.158,0.0578,0.0579,0.1393,0.0579,0.1017,0.0,516,125,94,149,376,122,107,368,136,438,0
2017-04-11,104493.56597709656,13873.115198135376,0.13276525753916904,0.0991,0.0976,0.0482,0.0847,0.1312,0.0479,0.1312,0.0481,0.048,0.1311,0.0,518,211,78,110,312,101,242,127,113,562,0
