date,portfolio_value,cash,w_c,w_XLF,w_XLK,w_XLV,w_XLY,w_XLP,w_XLE,w_XLI,w_XLU,w_XLB,w_XLRE,w_XLC,s_XLF,s_XLK,s_XLV,s_XLY,s_XLP,s_XLE,s_XLI,s_XLU,s_XLB,s_XLRE,s_XLC
2013-01-02,100000.0,12530.722279548645,0.12530722279548645,0.0619,0.0617,0.0617,0.0616,0.0618,0.168,0.1682,0.0618,0.168,0.0,0.0,569,244,186,147,240,364,545,263,563,0,0
2013-01-03,99842.45285129547,14440.989518165588,0.14463776786087057,0.0718,0.0717,0.1411,0.0849,0.0716,0.0716,0.0742,0.1197,0.1487,0.0,0.0,660,285,424,202,278,155,240,509,501,0,0
2013-01-04,100390.15338230133,12519.832736968994,0.12471176021906773,0.0618,0.0618,0.0618,0.0617,0.0619,0.1683,0.0617,0.1681,0.1682,0.0,0.0,565,248,186,147,241,362,199,715,563,0,0
2013-01-07,99972.43976593018,15627.978883743286,0.156322871786802,0.0689,0.1184,0.0847,0.0685,0.0689,0.0685,0.0886,0.1873,0.0898,0.0,0.0,628,474,253,163,269,148,286,801,300,0,0
2013-01-08,99736.05267333984,14275.364618301392,0.14313143778666207,0.071,0.1617,0.0709,0.071,0.1441,0.0708,0.0903,0.071,0.1061,0.0,0.0,648,648,211,169,563,153,293,304,353,0,0
2013-01-09,100010.41560935974,13731.12818145752,0.13729698149731973,0.0679,0.0678,0.0677,0.0676,0.0865,0.1847,0.068,0.0679,0.1846,0.0,0.0,622,272,200,161,338,401,219,292,612,0,0
2013-01-10,100576.65840148926,18105.607944488525,0.18001799057802492,0.0702,0.07,0.0702,0.0701,0.0701,0.1267,0.0701,0.1298,0.1428,0.0,0.0,639,281,207,167,274,274,226,559,474,0,0
2013-01-11,100588.48884391785,17068.267578125,0.16968410376071622,0.057,0.1549,0.0878,0.0571,0.0866,0.0569,0.0643,0.155,0.1107,0.0,0.0,520,621,259,136,337,123,208,667,368,0,0
2013-01-14,100518.56051635742,13955.365993499756,0.13883372306379968,0.0735,0.0689,0.0689,0.0687,0.0689,0.1871,0.0689,0.0689,0.1873,0.0,0.0,672,278,203,163,267,404,222,297,622,0,0
2013-01-15,100710.33194351196,12616.177478790283,0.12527192826518185,0.062,0.062,0.0619,0.0784,0.062,0.11,0.1047,0.1652,0.1685,0.0,0.0,566,252,183,185,240,237,337,711,560,0,0
2013-01-16,100500.78995513916,23982.800268173218,0.23863295282433594,0.0599,0.0598,0.0599,0.0597,0.0597,0.1626,0.0899,0.0598,0.15,0.0,0.0,545,242,177,141,231,348,290,258,501,0,0
2013-01-17,101019.37630558014,12091.952322006226,0.119699336545382,0.0589,0.0862,0.0588,0.0784,0.0588,0.16,0.1603,0.0588,0.1602,0.0,0.0,539,349,173,184,227,342,514,254,534,0,0
2013-01-18,101513.79354095459,17630.053192138672,0.1736715039126779,0.065,0.0648,0.0648,0.0649,0.0649,0.1763,0.1301,0.065,0.1305,0.0,0.0,597,264,191,153,251,375,416,280,434,0,0
2013-01-22,102038.03065013885,32607.991682052612,0.31956704254570245,0.0585,0.0583,0.0582,0.0584,0.0821,0.0893,0.0584,0.0585,0.1588,0.0,0.0,535,238,172,138,319,189,187,251,526,0,0
2013-01-23,101958.32785511017,26900.666153907776,0.26383981298845427,0.0571,0.057,0.0571,0.0568,0.0832,0.155,0.0569,0.0677,0.1454,0.0,0.0,522,230,169,134,323,329,182,291,484,0,0
