date,portfolio_value,cash,w_c,w_Canada,w_France,w_Germany,w_Italy,w_Japan,w_Switzerland,w_UK,w_US,s_Canada,s_France,s_Germany,s_Italy,s_Japan,s_Switzerland,s_UK,s_US,purchases,sales
2012-01-03,100000.0,125.49103832244873,0.0012549103832244872,0.1629,0.0598,0.1628,0.0598,0.0656,0.1628,0.1628,0.1623,795,413,992,201,384,1173,841,162,99874.50896167755,0.0
2012-01-04,99232.2594575882,55.368852615356445,0.0005579723057603164,0.0727,0.198,0.198,0.0728,0.198,0.096,0.091,0.0728,353,1370,1224,243,1157,699,467,72,31829.236426353455,31759.114240646362
2012-01-05,97338.87943077087,67.7032413482666,0.0006955416144524074,0.2025,0.0744,0.0937,0.0745,0.2026,0.0745,0.0745,0.2025,970,511,595,247,1181,543,381,196,25529.62028312683,25541.95467185974
2012-01-06,96242.5361995697,110.35584449768066,0.0011466431461120833,0.0851,0.0852,0.0851,0.1908,0.0851,0.2315,0.1256,0.1105,407,589,549,632,496,1699,639,106,32312.573461532593,32355.226064682007
2012-01-09,96574.1565361023,69.39196586608887,0.0007185355622562242,0.0765,0.0766,0.0766,0.2083,0.2083,0.0766,0.1901,0.0864,366,529,499,690,1209,560,969,83,19805.429878234863,19764.46599960327
2012-01-10,97830.65612697601,137.8038215637207,0.0014085954957192852,0.0668,0.1822,0.1678,0.1822,0.067,0.1822,0.084,0.0664,320,1253,1079,604,391,1321,429,64,29392.184301376343,29460.596157073975
2012-01-11,97626.1353225708,127.18083667755127,0.0013027334971043101,0.0712,0.0713,0.1939,0.0713,0.1497,0.1939,0.1767,0.0707,342,488,1241,237,879,1406,910,68,21698.841059684753,21688.218074798584
2012-01-12,98626.0984659195,52.266279220581055,0.0005299436967857124,0.2048,0.0801,0.1349,0.0753,0.1904,0.1363,0.1023,0.0753,988,545,851,254,1116,988,532,73,19027.514645576477,18952.600088119507
2012-01-13,97333.31863307953,123.7649040222168,0.0012715574251482911,0.0786,0.0786,0.0875,0.1629,0.2138,0.0786,0.0855,0.2132,377,541,558,541,1251,574,444,205,24018.84362411499,24090.342248916626
2012-01-17,98158.03791618347,127.56276226043701,0.0012995651193574392,0.1827,0.0671,0.0672,0.1825,0.1827,0.0672,0.0671,0.1822,879,452,423,611,1074,484,350,176,12295.727020263672,12299.524878501892
2012-01-18,99854.58213233948,169.77330112457275,0.0017002054137041848,0.0803,0.0802,0.2183,0.2181,0.0803,0.1524,0.0802,0.0885,388,537,1377,734,466,1091,419,86,29808.479946136475,29850.69048500061
2012-01-19,101395.80540466309,67.2820816040039,0.0006635588260824612,0.1916,0.0705,0.0704,0.0705,0.1915,0.0901,0.1916,0.1232,935,473,437,239,1111,642,1008,121,37604.956745147705,37502.465525627136
2012-01-20,101475.82658672333,168.86430072784424,0.0016640840129893333,0.1773,0.1772,0.1773,0.065,0.0652,0.1195,0.1525,0.0643,867,1191,1098,218,381,853,799,63,24672.239590644836,24773.821809768677
2012-01-23,102523.98993492126,114.2126874923706,0.001114009390044895,0.145,0.0822,0.0822,0.1726,0.0821,0.0821,0.1298,0.2229,704,553,506,582,482,586,683,221,29166.318866729736,29111.667253494263
2012-01-24,102064.72318267822,163.7259759902954,0.0016041387355477778,0.0906,0.0907,0.1317,0.0906,0.2466,0.0907,0.1279,0.1295,444,609,800,307,1445,649,672,128,23466.06310081482,23515.576389312744
