date,portfolio_value,cash,w_c,w_XLF,w_XLK,w_XLV,w_XLY,w_XLP,w_XLE,w_XLI,w_XLU,w_XLB,w_XLRE,w_XLC,s_XLF,s_XLK,s_XLV,s_XLY,s_XLP,s_XLE,s_XLI,s_XLU,s_XLB,s_XLRE,s_XLC
2013-01-02,100000.0,18474.764506340027,0.18474764506340027,0.0923,0.0902,0.0903,0.0905,0.0907,0.09,0.0904,0.0904,0.0904,0.0,0.0,849,357,272,216,352,195,293,385,303,0,0
2013-01-03,99878.65864276886,18391.49806880951,0.18413841674215395,0.0915,0.0905,0.0905,0.0904,0.0911,0.0906,0.0903,0.0905,0.0905,0.0,0.0,842,360,272,215,354,196,292,385,305,0,0
2013-01-04,100374.14759922028,18475.262664794922,0.18406395577638202,0.0912,0.0912,0.0904,0.0903,0.0919,0.0902,0.0902,0.0903,0.0902,0.0,0.0,833,366,272,215,358,194,291,384,302,0,0
2013-01-07,100068.20249176025,18370.485027313232,0.18357964438129967,0.0912,0.0918,0.0903,0.0903,0.0913,0.0902,0.0904,0.0904,0.0903,0.0,0.0,833,368,270,215,357,195,292,387,302,0,0
2013-01-08,99844.21161746979,18467.58287334442,0.18496398112790688,0.0913,0.0912,0.0902,0.0903,0.091,0.0901,0.0902,0.0903,0.0904,0.0,0.0,834,366,269,215,356,195,293,387,301,0,0
2013-01-09,100099.6817445755,18367.193013191223,0.18348902507061726,0.0904,0.0924,0.0903,0.0902,0.0923,0.0902,0.0903,0.0904,0.0901,0.0,0.0,829,371,267,215,361,196,291,389,299,0,0
2013-01-10,100632.59346294403,18545.97881603241,0.184293956638031,0.0912,0.0911,0.0905,0.0902,0.0913,0.0901,0.0905,0.0905,0.0903,0.0,0.0,830,366,267,215,357,195,292,390,300,0,0
2013-01-11,100644.89762401581,18587.981545448303,0.18468876201641496,0.0913,0.0912,0.0904,0.0903,0.0912,0.0902,0.0902,0.0904,0.0902,0.0,0.0,833,366,267,215,355,195,292,389,300,0,0
2013-01-14,100638.64709854126,18639.184136390686,0.18520900939914223,0.0921,0.0904,0.0902,0.0901,0.091,0.0902,0.0902,0.0904,0.0902,0.0,0.0,843,365,266,214,353,195,291,390,300,0,0
2013-01-15,100802.80700874329,18466.82578086853,0.18319753515660314,0.0918,0.0909,0.0906,0.0906,0.0908,0.0905,0.0906,0.0905,0.0905,0.0,0.0,838,370,268,214,352,195,292,390,301,0,0
2013-01-16,100681.2498512268,18497.653020858765,0.18372490456954105,0.0907,0.0908,0.0905,0.0905,0.0918,0.0905,0.0904,0.0904,0.0905,0.0,0.0,827,368,268,214,356,194,292,391,303,0,0
2013-01-17,101213.85362148285,18603.51916408539,0.18380407916942265,0.0918,0.0905,0.0905,0.0906,0.0907,0.0906,0.0906,0.0905,0.0904,0.0,0.0,842,367,267,213,351,194,291,392,302,0,0
2013-01-18,101589.92562961578,18645.687779426575,0.18353874819641497,0.0917,0.0905,0.0905,0.0903,0.0907,0.0907,0.0906,0.0907,0.0907,0.0,0.0,843,369,267,213,351,193,290,391,302,0,0
2013-01-22,102045.7446231842,18785.231347084045,0.18408637632515398,0.0913,0.0906,0.0907,0.0906,0.0908,0.0902,0.0906,0.0906,0.0906,0.0,0.0,835,370,268,214,353,191,290,389,300,0,0
2013-01-23,102028.1209449768,18851.777841567993,0.18477041100986905,0.0916,0.0906,0.0906,0.0903,0.0906,0.0904,0.0903,0.0906,0.0904,0.0,0.0,838,366,268,213,352,192,289,390,301,0,0
2013-01-24,102223.95471191406,18816.13789176941,0.1840677945281686,0.0921,0.0905,0.0906,0.0903,0.0904,0.0905,0.0904,0.0906,0.0905,0.0,0.0,840,373,267,212,351,192,288,389,301,0,0
2013-01-25,102687.4070930481,18905.520079612732,0.1841074832328942,0.0915,0.0905,0.0909,0.0905,0.0907,0.0904,0.0906,0.0904,0.0904,0.0,0.0,835,374,267,211,352,191,289,388,301,0,0
2013-01-28,102509.92015647888,18921.01373386383,0.184577392168303,0.0918,0.0904,0.0914,0.0902,0.0904,0.0904,0.0902,0.0903,0.0903,0.0,0.0,839,372,269,211,350,191,287,387,303,0,0
2013-01-29,102961.15160369873,18926.626865386963,0.1838229912019268,0.0921,0.0902,0.0927,0.0903,0.0902,0.0901,0.0903,0.0903,0.0901,0.0,0.0,842,372,271,213,349,188,288,386,302,0,0
2013-01-30,102651.4612121582,18819.554441452026,0.18333450122600894,0.0921,0.0902,0.0941,0.09,0.0901,0.0899,0.09,0.0902,0.0902,0.0,0.0,844,372,275,212,348,188,289,384,303,0,0
2013-01-31,102453.46480560303,19005.27888584137,0.18550157304979695,0.0917,0.0883,0.0967,0.0922,0.0883,0.0893,0.0911,0.0884,0.0883,0.0,0.0,839,363,283,218,341,187,293,375,299,0,0
2013-02-01,103198.28817176819,19136.866522789,0.18543782907461295,0.092,0.0889,0.0961,0.0908,0.0889,0.089,0.0907,0.089,0.0891,0.0,0.0,837,364,281,215,343,186,291,379,300,0,0
2013-02-04,102339.28660202026,18975.177751541138,0.18541440322260905,0.0921,0.0894,0.0962,0.0892,0.0893,0.0894,0.0901,0.0893,0.0895,0.0,0.0,840,368,282,212,345,187,289,380,302,0,0
2013-02-05,103088.16256332397,18928.09543991089,0.18361075577696834,0.0922,0.0901,0.0945,0.0899,0.09,0.0899,0.09,0.0899,0.0899,0.0,0.0,839,369,276,213,346,188,288,384,304,0,0
2013-02-06,103177.28544712067,18858.771664619446,0.18278026585885268,0.0926,0.09,0.0947,0.0901,0.09,0.0899,0.0899,0.0901,0.09,0.0,0.0,842,369,277,213,346,188,288,384,304,0,0
2013-02-07,103071.45674610138,18910.989148139954,0.18347455003691165,0.0927,0.0901,0.0945,0.0899,0.0898,0.0898,0.0899,0.09,0.0899,0.0,0.0,844,369,277,213,343,188,288,383,305,0,0
2013-02-08,103489.1677942276,19005.72648715973,0.18364942816961977,0.0915,0.0902,0.0944,0.0899,0.0902,0.0898,0.0902,0.0901,0.09,0.0,0.0,835,368,276,212,346,187,289,385,305,0,0
2013-02-11,103457.52947044373,19042.52423286438,0.18406126968559156,0.0927,0.0897,0.0946,0.0896,0.0897,0.0898,0.0905,0.0897,0.0896,0.0,0.0,842,365,277,212,344,188,290,382,304,0,0
2013-02-12,103629.58062934875,19031.232942581177,0.18364672352240877,0.0922,0.09,0.0943,0.0898,0.09,0.0899,0.0901,0.0899,0.0901,0.0,0.0,832,368,277,212,346,188,288,382,306,0,0
2013-02-13,103745.26119422913,19044.72384262085,0.18357198799630783,0.0919,0.0901,0.0942,0.0899,0.09,0.0902,0.0902,0.0901,0.0901,0.0,0.0,832,369,277,212,346,188,287,383,305,0,0
2013-02-14,103784.23370552063,19098.876333236694,0.18402483355447044,0.0927,0.0898,0.0943,0.0899,0.0899,0.0899,0.0899,0.0898,0.0897,0.0,0.0,837,369,277,212,345,186,286,385,305,0,0
