date,portfolio_value,cash,w_c,w_XLF,w_XLK,w_XLV,w_XLY,w_XLP,w_XLE,w_XLI,w_XLU,w_XLB,w_XLRE,w_XLC,s_XLF,s_XLK,s_XLV,s_XLY,s_XLP,s_XLE,s_XLI,s_XLU,s_XLB,s_XLRE,s_XLC
2020-01-02,100000.0,412.913179397583,0.00412913179397583,0.1519,0.0551,0.0552,0.0557,0.0557,0.0555,0.0554,0.1518,0.0559,0.152,0.1516,543,62,59,46,103,116,73,283,103,478,294
2020-01-03,99599.40971374512,300.162633895874,0.0030136989241056756,0.1492,0.0547,0.0726,0.0542,0.0548,0.0546,0.0548,0.149,0.0547,0.1493,0.1492,537,62,78,45,101,114,72,276,102,464,290
2020-01-06,99910.85634803772,345.00300788879395,0.003453108305737887,0.152,0.0556,0.0551,0.0554,0.0558,0.0558,0.0554,0.1519,0.0559,0.152,0.1517,549,63,59,46,103,116,73,282,105,474,292
2020-01-07,99547.09055709839,381.27786445617676,0.0038301256452842563,0.1518,0.0558,0.0552,0.0555,0.0556,0.0558,0.0555,0.1517,0.0555,0.1519,0.1519,550,63,59,46,103,116,73,281,104,477,291
2020-01-08,99901.16175079346,292.385404586792,0.002926746791155006,0.1387,0.0508,0.1379,0.0507,0.0507,0.051,0.0509,0.1387,0.0507,0.1387,0.1383,501,57,147,42,94,108,67,258,95,435,264
2020-01-09,100388.95271110535,361.6650505065918,0.003602637947099365,0.1519,0.0556,0.0553,0.0555,0.0557,0.0558,0.0554,0.1517,0.0554,0.152,0.152,548,62,59,46,103,118,73,282,104,479,290
2020-01-10,100264.0756187439,229.16746139526367,0.0022856387991515266,0.151,0.0556,0.062,0.0553,0.0552,0.0556,0.0551,0.1507,0.0553,0.1511,0.1511,548,62,66,46,102,118,73,279,104,471,289
2020-01-13,101006.74660873413,308.10840606689453,0.0030503745186487587,0.152,0.0558,0.0557,0.055,0.0557,0.0556,0.0559,0.1516,0.0556,0.1521,0.1519,552,62,60,46,103,119,74,281,104,472,290
2020-01-14,100894.48572921753,501.03948974609375,0.004965974960126094,0.1519,0.0556,0.0552,0.0551,0.0558,0.0557,0.0552,0.1516,0.0554,0.1518,0.1517,552,62,59,46,103,119,73,280,104,473,290
2020-01-15,101292.40449905396,284.0730972290039,0.002804485673273331,0.1499,0.0546,0.0686,0.0547,0.0548,0.0551,0.0551,0.1499,0.055,0.1497,0.1497,550,61,73,46,101,119,73,274,103,465,286
2020-01-16,102045.68963623047,443.7255172729492,0.004348302401157062,0.152,0.0558,0.0553,0.0548,0.0557,0.0557,0.0552,0.1519,0.0555,0.1519,0.1519,557,62,59,46,103,121,73,278,104,471,290
