date,portfolio_value,cash,w_c,w_Canada,w_France,w_Germany,w_Italy,w_Japan,w_Switzerland,w_UK,w_US,s_Canada,s_France,s_Germany,s_Italy,s_Japan,s_Switzerland,s_UK,s_US,purchases,sales
2014-01-02,100000.0,179.85041427612305,0.0017985041427612304,0.0871,0.2373,0.0872,0.0873,0.0871,0.2373,0.088,0.0869,384,1021,410,221,349,1169,344,58,99820.14958572388,0.0
2014-01-03,99983.2791633606,83.31547355651855,0.0008332940693052399,0.1962,0.0721,0.1054,0.1963,0.084,0.0722,0.0768,0.1963,865,311,494,494,333,357,300,131,34483.388414382935,34386.85347366333
2014-01-06,99837.0198841095,184.37676429748535,0.0018467775231222779,0.1783,0.108,0.1039,0.1488,0.2183,0.0813,0.0803,0.0793,790,463,482,375,865,402,314,53,18211.298322677612,18312.35961341858
2014-01-07,100168.4965171814,238.39172554016113,0.002379907194666449,0.1378,0.1451,0.1041,0.2068,0.1277,0.1093,0.0814,0.0855,615,622,478,521,507,538,318,57,12990.698017120361,13044.712978363037
2014-01-08,100014.31184959412,179.7091827392578,0.0017968346671175654,0.2144,0.1258,0.0788,0.1681,0.1302,0.097,0.0788,0.1052,956,540,364,422,517,478,308,70,9853.511758804321,9794.829216003418
2014-01-09,99985.27483177185,189.66304779052734,0.0018969098010646166,0.1695,0.09,0.0898,0.1167,0.1021,0.1445,0.0989,0.1866,758,387,411,294,403,714,387,124,15943.463832855225,15953.417697906494
2014-01-10,100713.98675918579,80.99261474609375,0.0008041843774862451,0.1992,0.0732,0.0732,0.1992,0.1357,0.0733,0.0732,0.1722,893,314,334,502,534,361,286,115,14698.874305725098,14590.203872680664
2014-01-13,100000.47806358337,165.46824264526367,0.001654674516056352,0.1892,0.0916,0.0815,0.2021,0.1379,0.0744,0.0743,0.1473,843,393,375,509,540,366,292,99,3418.9364051818848,3503.4120330810547
2014-01-14,100514.69911956787,132.44541358947754,0.0013176720892526007,0.2034,0.0908,0.0778,0.1714,0.1006,0.0779,0.0986,0.1781,917,386,354,435,394,381,384,119,7341.453636169434,7308.4308071136475
2014-01-15,101116.29934501648,194.88949584960938,0.0019273796322849162,0.1812,0.0707,0.0705,0.1918,0.1856,0.0706,0.0706,0.1571,818,298,318,486,734,345,276,105,10729.605407714844,10792.049489974976
2014-01-16,101202.6302947998,185.2151165008545,0.0018301413309251863,0.1326,0.119,0.0978,0.2055,0.0877,0.0756,0.0755,0.2045,596,503,443,523,345,370,295,137,15014.149793624878,15004.475414276123
2014-01-17,100851.92039108276,174.41729164123535,0.0017294394689251467,0.127,0.0743,0.0744,0.2024,0.2024,0.0743,0.0778,0.1656,569,316,338,512,800,366,303,111,11818.026084899902,11807.228260040283
2014-01-21,101351.37554359436,158.59328651428223,0.0015647867200980054,0.191,0.2079,0.0796,0.208,0.0765,0.0765,0.0786,0.0804,855,883,360,528,302,376,305,54,21393.18755340576,21377.36354827881
