date,portfolio_value,cash,w_c,w_XLF,w_XLK,w_XLV,w_XLY,w_XLP,w_XLE,w_XLI,w_XLU,w_XLB,w_XLRE,w_XLC,s_XLF,s_XLK,s_XLV,s_XLY,s_XLP,s_XLE,s_XLI,s_XLU,s_XLB,s_XLRE,s_XLC
2015-01-02,100000.0,12587.748582839966,0.12587748582839967,0.0789,0.0617,0.1607,0.0783,0.0619,0.0617,0.1686,0.0941,0.1083,0.0,0.0,479,170,278,123,169,118,361,279,275,0,0
2015-01-05,98424.59138298035,11785.161920547485,0.11973798168681433,0.0757,0.0589,0.059,0.0812,0.0661,0.16,0.1603,0.0589,0.1602,0.0,0.0,462,162,101,128,179,314,346,174,411,0,0
2015-01-06,97571.87104034424,24918.552186965942,0.25538663880558937,0.0465,0.1043,0.0752,0.0462,0.1265,0.0466,0.1265,0.1264,0.0464,0.0,0.0,286,288,128,73,340,92,274,370,119,0,0
2015-01-07,98435.10519981384,29653.82709312439,0.3012525565237113,0.0551,0.055,0.0697,0.0548,0.1497,0.0548,0.0549,0.0551,0.1497,0.0,0.0,338,152,117,86,399,109,119,161,383,0,0
2015-01-08,99674.36755943298,26738.267435073853,0.268256203573407,0.0488,0.0957,0.0838,0.0908,0.1331,0.0488,0.0488,0.133,0.049,0.0,0.0,299,262,140,142,354,96,105,391,124,0,0
2015-01-09,99093.43269348145,31800.074737548828,0.32091001263336694,0.0587,0.0586,0.1593,0.0585,0.0675,0.0583,0.1012,0.0585,0.0585,0.0,0.0,362,160,267,92,180,115,219,172,148,0,0
2015-01-12,98671.08346748352,10587.003467559814,0.1072959077321645,0.143,0.0774,0.1427,0.1194,0.0526,0.0524,0.1429,0.11,0.0523,0.0,0.0,886,213,238,188,140,106,310,323,132,0,0
2015-01-13,98457.89849662781,15669.13714313507,0.15914555746557743,0.1188,0.0695,0.1178,0.0795,0.0696,0.1391,0.1074,0.0695,0.0695,0.0,0.0,737,191,197,125,185,283,233,203,177,0,0
2015-01-14,98082.70541095734,15157.783596992493,0.1545408391161602,0.0763,0.1058,0.0761,0.0757,0.0761,0.2074,0.0759,0.0762,0.0759,0.0,0.0,478,291,127,120,202,419,165,220,195,0,0
2015-01-15,97444.02186870575,21356.932819366455,0.21917129865742185,0.0706,0.0704,0.0704,0.1248,0.0706,0.1485,0.0844,0.0707,0.0704,0.0,0.0,445,195,118,199,186,302,183,201,180,0,0
2015-01-16,98634.85701942444,28135.34571456909,0.2852474932774356,0.1423,0.0893,0.0523,0.1418,0.0586,0.0522,0.0738,0.0522,0.0522,0.0,0.0,897,248,87,226,155,104,161,149,133,0,0
2015-01-20,98671.83487415314,35230.66597080231,0.3570488581238586,0.065,0.065,0.0667,0.0649,0.0649,0.0648,0.1112,0.065,0.0755,0.0,0.0,412,179,111,104,171,129,241,185,192,0,0
2015-01-21,99139.34201908112,24739.02946281433,0.2495379630223173,0.0616,0.0536,0.1234,0.1231,0.1143,0.0454,0.0602,0.1235,0.0454,0.0,0.0,391,148,206,197,301,89,130,350,115,0,0
2015-01-22,99987.79072570801,22638.923315048218,0.22641687700803945,0.1048,0.0693,0.1551,0.0688,0.0692,0.0691,0.0858,0.0693,0.0821,0.0,0.0,655,190,258,109,182,136,184,199,207,0,0
2015-01-23,99468.57316207886,12720.913745880127,0.12788877271972185,0.063,0.0631,0.0643,0.0824,0.0627,0.0694,0.1712,0.1531,0.1429,0.0,0.0,396,172,107,130,166,137,368,436,364,0,0
2015-01-26,99723.54873275757,28984.972686767578,0.29065324143690935,0.053,0.0528,0.1259,0.0527,0.1131,0.0528,0.0887,0.1176,0.0527,0.0,0.0,332,145,209,83,300,103,191,336,134,0,0
2015-01-27,99113.72554779053,19505.255771636963,0.19679671673961993,0.0927,0.0762,0.08,0.0761,0.1586,0.0763,0.0909,0.0762,0.0763,0.0,0.0,584,214,133,120,423,148,197,216,194,0,0
2015-01-28,97961.29620742798,30005.800512313843,0.30630260800937253,0.0558,0.0557,0.0558,0.0557,0.1518,0.0556,0.0555,0.1518,0.0558,0.0,0.0,354,155,93,88,405,111,120,429,143,0,0
2015-01-29,98648.71022796631,18088.680647850037,0.18336459347566822,0.0804,0.0692,0.0709,0.0695,0.161,0.0619,0.1696,0.0623,0.0719,0.0,0.0,509,192,118,109,429,124,365,175,183,0,0
2015-01-30,97583.55766391754,11800.147557258606,0.12092352277110946,0.0594,0.059,0.0699,0.0593,0.1077,0.1609,0.1428,0.0591,0.161,0.0,0.0,378,164,117,93,289,316,309,168,407,0,0
2015-02-02,98804.7443227768,12913.702496528625,0.1306992147496678,0.0741,0.1738,0.073,0.1734,0.0637,0.0638,0.0843,0.0995,0.0639,0.0,0.0,470,484,123,273,171,123,182,285,162,0,0
2015-02-03,100074.0183839798,30613.581679344177,0.3059093876082916,0.0558,0.0559,0.1517,0.0557,0.1521,0.0557,0.0558,0.0557,0.0557,0.0,0.0,353,156,257,87,410,106,120,161,140,0,0
2015-02-04,99685.26592159271,28976.03139400482,0.29067516775042634,0.0529,0.0526,0.1053,0.0524,0.1438,0.0529,0.0528,0.1438,0.0528,0.0,0.0,334,146,180,81,386,102,114,419,133,0,0
2015-02-05,100449.41159534454,22703.4275598526,0.22601852215234697,0.061,0.061,0.062,0.0607,0.0758,0.0606,0.1659,0.0608,0.1661,0.0,0.0,384,169,105,94,204,116,358,177,412,0,0
2015-02-06,100050.2794046402,21688.21230983734,0.2167731308587577,0.0522,0.1421,0.0764,0.0518,0.0902,0.052,0.1411,0.1254,0.0521,0.0,0.0,325,393,130,80,243,99,304,379,129,0,0
2015-02-09,99676.60295581818,31452.861872673035,0.3155490951734638,0.0576,0.0844,0.0658,0.0822,0.1335,0.0575,0.0576,0.0882,0.0575,0.0,0.0,359,233,113,127,361,109,124,268,142,0,0
2015-02-10,100466.12437343597,27978.431120872498,0.2784862190650027,0.0507,0.0507,0.1252,0.0507,0.1381,0.0507,0.0667,0.138,0.0506,0.0,0.0,316,139,213,78,372,97,144,414,125,0,0
2015-02-11,100222.74616146088,36802.59326839447,0.36720799097946033,0.0672,0.0672,0.069,0.0672,0.0755,0.0734,0.0669,0.0791,0.0672,0.0,0.0,418,183,117,103,202,141,144,242,166,0,0
2015-02-12,100759.70187664032,11690.381007194519,0.11602238582947579,0.1385,0.0566,0.0565,0.0564,0.0568,0.0991,0.1545,0.111,0.1545,0.0,0.0,857,153,96,86,152,189,331,343,377,0,0
2015-02-13,101058.13685703278,12549.426228523254,0.12418026513072333,0.1658,0.0609,0.0607,0.0606,0.0608,0.1655,0.1655,0.061,0.075,0.0,0.0,1030,164,103,92,164,310,354,192,182,0,0
2015-02-17,101225.24524021149,10200.477997779846,0.10077009913459543,0.1342,0.1339,0.0551,0.1338,0.0493,0.0759,0.1341,0.0491,0.1338,0.0,0.0,832,361,93,204,133,142,287,155,325,0,0
2015-02-18,101320.12683582306,12026.089413642883,0.11869398301415175,0.0581,0.0582,0.0806,0.0576,0.0941,0.1584,0.1582,0.058,0.158,0.0,0.0,363,157,136,88,253,300,337,179,383,0,0
2015-02-19,101217.19318675995,11967.393528938293,0.11823478948736278,0.1339,0.1308,0.0577,0.1578,0.0659,0.0579,0.1577,0.0581,0.0621,0.0,0.0,839,351,97,240,178,110,335,181,150,0,0
2015-02-20,101705.76494503021,14329.336707115173,0.14089011291405037,0.0691,0.069,0.0687,0.0692,0.069,0.188,0.069,0.069,0.188,0.0,0.0,432,185,115,105,187,361,146,216,455,0,0
2015-02-23,101655.64015483856,28109.629866600037,0.27651815308805655,0.0505,0.1299,0.0505,0.0501,0.1371,0.0503,0.0678,0.1371,0.0504,0.0,0.0,316,348,84,76,370,97,144,426,122,0,0
2015-02-24,101952.37045192719,32609.24470615387,0.3198478324888959,0.0584,0.0582,0.1143,0.0581,0.1586,0.0581,0.058,0.0582,0.0583,0.0,0.0,365,156,191,88,428,112,123,180,141,0,0
