date,portfolio_value,cash,w_c,w_XLF,w_XLK,w_XLV,w_XLY,w_XLP,w_XLE,w_XLI,w_XLU,w_XLB,w_XLRE,w_XLC,s_XLF,s_XLK,s_XLV,s_XLY,s_XLP,s_XLE,s_XLI,s_XLU,s_XLB,s_XLRE,s_XLC,purchases,sales
2018-01-02,100000.0,5358.818906784058,0.053588189067840575,0.1383,0.0504,0.067,0.0503,0.1383,0.0506,0.1245,0.1382,0.1382,0.0507,0.0,572,84,91,54,299,96,186,336,262,199,0,94641.18109321594,0.0
2018-01-03,100331.2831993103,5509.962230682373,0.054917689228958746,0.1434,0.1091,0.0526,0.096,0.1433,0.0528,0.1134,0.0647,0.117,0.0528,0.0,592,181,71,103,311,99,169,159,221,208,0,11880.057348251343,12031.200672149658
2018-01-04,100672.93228912354,7292.616798400879,0.07243870455126056,0.1635,0.0598,0.0599,0.0596,0.1635,0.0599,0.0599,0.1632,0.0601,0.0781,0.0,671,99,81,64,355,112,89,406,113,314,0,18071.179553985596,19853.8341217041
2018-01-05,101052.5571193695,5826.738021850586,0.05766047082774644,0.1507,0.0553,0.1026,0.1357,0.1502,0.0554,0.1128,0.0692,0.055,0.0554,0.0,619,91,138,145,326,104,167,173,103,223,0,17265.473236083984,15799.594459533691
2018-01-08,101260.14825439453,15794.490226745605,0.15597933144503517,0.1521,0.0554,0.0554,0.0552,0.1517,0.0556,0.0555,0.0556,0.0555,0.152,0.0,627,91,75,59,329,104,82,138,104,609,0,10144.259727478027,20112.011932373047
2018-01-09,101202.98257255554,15654.873121261597,0.1546878631767412,0.1519,0.0559,0.0554,0.0553,0.152,0.0555,0.0559,0.0559,0.0555,0.1521,0.0,621,92,74,59,330,104,82,140,104,616,0,363.8395404815674,224.2224349975586
2018-01-10,100880.4873828888,14099.89175605774,0.139768275529261,0.1366,0.0498,0.0644,0.0498,0.1366,0.0503,0.0499,0.1363,0.05,0.1365,0.0,552,82,86,53,297,94,73,344,94,560,0,9063.571197509766,7508.589832305908
2018-01-11,101153.94977760315,5957.328748703003,0.05889368395204313,0.1537,0.0955,0.0593,0.0714,0.1534,0.0566,0.0953,0.0823,0.1156,0.058,0.0,620,157,79,75,335,104,138,209,215,240,0,21871.07148361206,13728.508476257324
2018-01-12,101567.85548591614,13135.445701599121,0.12932679969225638,0.144,0.053,0.0723,0.0528,0.1437,0.0525,0.0528,0.1029,0.0525,0.144,0.0,578,87,96,55,315,96,76,264,98,603,0,12284.162519454956,19462.279472351074
2018-01-16,101441.41696929932,15046.843162536621,0.14833037246601619,0.1448,0.0529,0.053,0.0745,0.1446,0.053,0.053,0.0779,0.0531,0.1449,0.0,582,87,70,78,315,98,77,200,100,603,0,2616.5208435058594,4527.918304443359
2018-01-17,102123.5207271576,14336.405757904053,0.14038299557069214,0.1384,0.0509,0.0517,0.0505,0.1383,0.0509,0.0509,0.1386,0.0508,0.1385,0.0,556,83,68,53,300,94,74,356,96,577,0,6202.901321411133,5492.463916778564
2018-01-18,101770.36110496521,15420.235271453857,0.15151990328057832,0.1479,0.0542,0.0542,0.0535,0.1476,0.0539,0.0542,0.0808,0.0542,0.1479,0.0,593,88,71,56,320,100,79,208,102,620,0,4763.656448364258,5847.4859619140625
2018-01-19,102247.88213539124,14986.946451187134,0.146574639378273,0.1443,0.0528,0.0625,0.0528,0.1439,0.0531,0.0528,0.0944,0.0526,0.1442,0.0,577,86,82,55,310,99,77,245,99,603,0,2314.665599822998,1881.3767795562744
2018-01-22,102892.31630516052,8216.201002120972,0.07985242530407387,0.1636,0.0598,0.0602,0.0598,0.1636,0.0599,0.0974,0.0602,0.0601,0.1356,0.0,653,97,79,62,352,110,143,157,114,565,0,11415.425106048584,4644.679656982422
2018-01-23,103172.71959495544,15618.8604221344,0.15138556474475326,0.1483,0.0599,0.0613,0.0543,0.1266,0.0542,0.087,0.0544,0.0541,0.1484,0.0,593,97,81,56,274,100,128,141,103,611,0,1309.1630744934082,8711.822494506836
2018-01-24,103220.86858940125,14594.560102462769,0.14139156453447382,0.1387,0.0508,0.0508,0.0506,0.1384,0.0508,0.0509,0.1384,0.0506,0.1385,0.0,551,83,67,52,299,94,75,361,96,572,0,9902.10615158081,8877.80583190918
2018-01-25,103415.54958152771,15258.773992538452,0.1475481593849597,0.1449,0.0531,0.0527,0.0873,0.1447,0.053,0.0604,0.0532,0.0583,0.1449,0.0,578,87,69,90,313,99,89,137,110,601,0,8339.595924377441,9003.809814453125
2018-01-26,104063.97504425049,10898.92364692688,0.10473291686476897,0.1551,0.0567,0.0729,0.0564,0.1551,0.0567,0.0566,0.08,0.0566,0.1493,0.0,618,92,94,58,336,106,83,207,107,621,0,8191.268184661865,3831.417839050293
2018-01-29,103365.71734046936,13345.663848876953,0.12911112303239353,0.1271,0.0498,0.0467,0.127,0.1268,0.0466,0.0464,0.1272,0.0463,0.127,0.0,505,81,60,130,274,88,68,331,88,531,0,12194.987899780273,14641.728101730347
2018-01-30,102694.6121044159,13692.716817855835,0.1333343253094292,0.131,0.0607,0.0613,0.1301,0.1309,0.0481,0.0776,0.048,0.0479,0.1309,0.0,524,99,80,133,283,92,114,124,91,546,0,7886.982740402222,8234.035709381104
