date,portfolio_value,cash,w_c,w_XLF,w_XLK,w_XLV,w_XLY,w_XLP,w_XLE,w_XLI,w_XLU,w_XLB,w_XLRE,w_XLC,s_XLF,s_XLK,s_XLV,s_XLY,s_XLP,s_XLE,s_XLI,s_XLU,s_XLB,s_XLRE,s_XLC
2019-01-02,100000.0,300.56946182250977,0.0030056946182250976,0.1385,0.0507,0.0503,0.138,0.051,0.051,0.1387,0.1387,0.1384,0.0508,0.0508,654,87,66,147,120,118,239,327,311,208,129
2019-01-03,98073.0846748352,236.75344467163086,0.002414051168642195,0.1387,0.1383,0.051,0.1386,0.0509,0.0507,0.1383,0.051,0.1384,0.0508,0.051,657,245,67,148,118,116,241,118,314,203,129
2019-01-04,101388.32819747925,237.95621490478516,0.0023469783863218027,0.1376,0.0502,0.0577,0.1375,0.0503,0.0507,0.1377,0.1375,0.1374,0.0506,0.0506,652,88,76,147,118,116,239,324,310,207,127
2019-01-07,102027.58694267273,294.65330505371094,0.002887976809833509,0.1266,0.1326,0.0522,0.1417,0.052,0.052,0.1419,0.0519,0.1419,0.0522,0.0521,603,232,69,149,123,118,246,124,321,213,130
2019-01-08,103040.73391151428,308.05174827575684,0.0029896113564204106,0.1328,0.1324,0.0483,0.1323,0.0781,0.0488,0.1326,0.0613,0.1327,0.0489,0.0488,638,232,64,139,185,111,229,146,300,198,121
2019-01-09,103426.97809028625,253.11794471740723,0.002447310647483568,0.1521,0.0559,0.0559,0.1515,0.0559,0.0556,0.1516,0.1517,0.0555,0.0559,0.0559,730,97,74,159,134,125,261,365,126,228,139
2019-01-10,104048.58745765686,257.41572761535645,0.0024739954083481735,0.1363,0.0667,0.0497,0.136,0.1363,0.0501,0.1364,0.0498,0.1361,0.05,0.0501,658,116,66,144,327,113,233,119,308,202,125
2019-01-11,104004.5740184784,386.07779693603516,0.0037121232463049277,0.1386,0.0505,0.0506,0.1381,0.1384,0.0507,0.1386,0.1385,0.0506,0.0508,0.0507,667,88,67,146,331,115,237,332,115,205,127
2019-01-14,103424.31259536743,302.5025405883789,0.0029248687566517948,0.1275,0.127,0.0466,0.1267,0.0469,0.0469,0.127,0.1276,0.1274,0.0467,0.0468,606,222,62,134,112,106,216,311,290,188,117
2019-01-15,104180.84732818604,377.23143577575684,0.0036209288506496647,0.0504,0.0525,0.0516,0.1364,0.0566,0.1371,0.1368,0.1373,0.137,0.0504,0.0504,239,91,68,144,135,311,235,333,316,202,125
2019-01-16,104328.97975349426,199.53937149047852,0.0019125977457264973,0.0604,0.0605,0.0598,0.0604,0.0825,0.0602,0.0605,0.1644,0.0604,0.1645,0.1645,281,105,79,64,198,137,104,398,139,657,410
2019-01-17,105041.16951179504,259.93223571777344,0.0024745748445668793,0.0504,0.0501,0.0736,0.05,0.1226,0.1375,0.0505,0.1376,0.0505,0.1374,0.1372,235,87,97,53,295,312,86,334,115,550,343
2019-01-18,106199.00635528564,339.9803009033203,0.0032013510537558724,0.0469,0.0469,0.0463,0.1268,0.1273,0.0467,0.0468,0.1273,0.1271,0.1275,0.1273,217,81,61,134,306,105,79,312,288,514,319
2019-01-22,105022.27949905396,313.6271152496338,0.0029862912588224572,0.1275,0.1271,0.0465,0.1272,0.0467,0.0466,0.1273,0.0467,0.0467,0.1275,0.1272,591,221,61,135,112,106,217,113,106,509,322
2019-01-23,105107.38780403137,249.6106128692627,0.0023748151113283486,0.1382,0.0934,0.074,0.0755,0.0506,0.1379,0.0505,0.1381,0.1381,0.0508,0.0507,640,162,97,80,120,317,86,331,316,203,129
2019-01-24,105273.75477981567,211.8466339111328,0.0020123404390222296,0.1644,0.0604,0.0604,0.0634,0.0603,0.1646,0.0789,0.1645,0.0603,0.0605,0.0603,761,104,80,67,145,377,134,393,139,241,153
2019-01-25,105924.63768577576,261.65611457824707,0.002470210144635538,0.139,0.0509,0.139,0.0504,0.051,0.051,0.1387,0.1387,0.1371,0.051,0.0508,642,87,185,53,124,116,234,338,312,202,128
2019-01-28,105353.6342792511,426.4458866119385,0.004047756772031214,0.1519,0.0557,0.0553,0.0551,0.0557,0.0555,0.0555,0.152,0.0556,0.1519,0.1518,700,96,74,58,134,127,94,370,126,593,384
2019-01-29,105380.2472190857,313.36821937561035,0.0029736903038775128,0.1386,0.0505,0.138,0.051,0.0508,0.0509,0.0509,0.1383,0.0508,0.1386,0.1387,641,88,184,54,122,116,85,336,114,537,355
2019-01-30,106631.91668701172,292.0935935974121,0.0027392698422065457,0.1337,0.0491,0.0849,0.0485,0.0489,0.1336,0.0487,0.1337,0.049,0.1337,0.1335,622,84,113,51,118,304,81,326,110,520,341
2019-01-31,107917.97407150269,269.77794456481934,0.002499842559924947,0.1545,0.0566,0.1541,0.0569,0.0567,0.0949,0.0566,0.1543,0.0567,0.0985,0.0576,729,98,205,60,136,217,95,373,131,384,143
2019-02-01,107985.49455451965,249.58175086975098,0.002311252561275647,0.1457,0.0534,0.0948,0.0532,0.0536,0.0533,0.0531,0.1458,0.0534,0.1458,0.1456,685,92,126,57,129,120,89,354,123,572,363
2019-02-04,108532.76383399963,382.15477180480957,0.0035211005258219863,0.1386,0.0505,0.138,0.0505,0.0507,0.051,0.0505,0.1387,0.0509,0.1385,0.1385,652,86,185,54,122,115,84,338,118,543,344
2019-02-05,108961.99418067932,335.36491203308105,0.003077815476440193,0.0524,0.0519,0.115,0.0517,0.1425,0.0522,0.052,0.1422,0.0524,0.1425,0.1424,248,88,155,55,344,118,86,347,121,557,351
2019-02-06,108459.67908096313,234.26892471313477,0.0021599632849573286,0.1386,0.0505,0.1386,0.0508,0.0508,0.0507,0.051,0.1386,0.051,0.1387,0.1386,654,85,185,54,122,115,84,337,118,544,348
2019-02-07,107964.76120758057,210.33470726013184,0.0019481792476318054,0.1376,0.0506,0.058,0.0506,0.0506,0.1373,0.0503,0.1373,0.0505,0.1377,0.1375,653,86,78,54,121,317,83,328,118,533,347
2019-02-08,108037.47437667847,234.9749870300293,0.0021749396529835226,0.1375,0.0503,0.1371,0.0504,0.0596,0.0504,0.0503,0.1374,0.0504,0.1373,0.1372,656,85,184,54,142,117,83,327,118,532,344
2019-02-11,108038.16830062866,308.84143447875977,0.0028586326419323665,0.1387,0.0509,0.1384,0.0505,0.0509,0.0507,0.0506,0.1386,0.0509,0.1385,0.1385,660,86,186,54,121,117,83,330,119,535,351
2019-02-12,109043.91774749756,351.74603843688965,0.0032257281809279256,0.0945,0.0594,0.059,0.0592,0.0596,0.0595,0.0595,0.1623,0.0594,0.1622,0.1622,447,100,79,63,142,137,97,389,137,637,410
2019-02-13,109356.67746925354,253.23995399475098,0.0023157246530825823,0.1037,0.0527,0.1441,0.0529,0.0529,0.0531,0.0529,0.1443,0.0528,0.1442,0.144,491,89,193,56,126,121,86,348,122,564,365
2019-02-14,109234.33460044861,294.9514789581299,0.0027001718831078827,0.0974,0.0481,0.1319,0.048,0.0482,0.1317,0.0484,0.1318,0.0483,0.1318,0.1316,466,81,176,51,116,299,79,318,112,513,332
2019-02-15,110373.62239837646,265.23136138916016,0.0024030321341801096,0.0558,0.0557,0.1521,0.0553,0.0556,0.0558,0.0559,0.1518,0.0558,0.1519,0.1517,264,94,202,59,134,126,91,369,129,594,385
2019-02-19,110592.71044158936,214.6405143737793,0.0019408197295891743,0.1387,0.0509,0.1387,0.0508,0.0508,0.051,0.0509,0.1384,0.0508,0.1385,0.1386,657,86,185,54,122,115,83,335,117,542,352
2019-02-20,110746.36699676514,272.9469738006592,0.0024646133431052582,0.1387,0.0509,0.1383,0.0508,0.051,0.0507,0.0505,0.1384,0.0507,0.1387,0.1387,654,86,185,54,123,114,82,334,115,547,354
2019-02-21,110402.26052856445,251.38663864135742,0.0022770062627143037,0.1387,0.0505,0.1383,0.0508,0.0509,0.051,0.051,0.1386,0.0507,0.1386,0.1386,655,85,186,54,122,116,83,331,115,544,356
2019-02-22,110997.9605140686,379.85033988952637,0.003422138011638346,0.0666,0.055,0.15,0.0546,0.0549,0.0552,0.0548,0.15,0.055,0.1502,0.1501,317,92,201,58,133,126,89,358,125,589,384
2019-02-25,110873.62243461609,285.95243644714355,0.002579084458215246,0.1513,0.0554,0.0576,0.0554,0.0555,0.0571,0.0557,0.1513,0.0555,0.1514,0.1513,716,92,77,59,135,130,90,363,125,598,386
2019-02-26,110698.40847206116,220.89926147460938,0.0019955053060257996,0.1285,0.0471,0.1202,0.0471,0.047,0.1285,0.047,0.1284,0.0473,0.1285,0.1283,609,78,161,50,114,293,76,308,107,508,327
2019-02-27,110641.40022850037,315.4122428894043,0.0028507614892617434,0.138,0.0507,0.1376,0.0499,0.0506,0.0555,0.0503,0.1378,0.0508,0.138,0.1379,651,84,185,53,123,126,81,330,115,547,353
2019-02-28,110531.7273273468,405.3057518005371,0.0036668725044004618,0.1386,0.0506,0.138,0.0507,0.0509,0.0506,0.0508,0.1383,0.0506,0.1386,0.1385,655,84,186,54,123,116,82,329,116,547,354
2019-03-01,111154.6644077301,220.83879470825195,0.001986770378777681,0.1332,0.0489,0.1018,0.0489,0.0489,0.1194,0.0487,0.1333,0.049,0.1331,0.133,629,81,136,52,119,270,79,318,113,529,339
2019-03-04,110989.75692749023,281.36339950561523,0.0025350393342101862,0.1425,0.0524,0.1146,0.0516,0.0522,0.0523,0.0522,0.1425,0.0523,0.1424,0.1424,676,87,155,55,127,118,85,339,120,563,362
2019-03-05,110957.3349609375,347.97247886657715,0.0031360926160409384,0.13,0.0474,0.1301,0.0471,0.0477,0.1097,0.0476,0.1298,0.0477,0.1299,0.1299,619,79,176,50,116,248,78,309,110,512,328
2019-03-06,110358.2056980133,304.87346839904785,0.00276258087444182,0.0785,0.06,0.0696,0.0593,0.0598,0.0601,0.0596,0.1634,0.0599,0.1634,0.1635,374,100,95,63,145,137,98,387,137,642,411
2019-03-07,109776.23698997498,276.8303737640381,0.0025217695683020986,0.0559,0.0556,0.1519,0.0552,0.0556,0.0557,0.0559,0.1521,0.0558,0.1519,0.1518,268,93,208,59,135,127,92,357,128,594,383
2019-03-08,109643.74536323547,274.0972671508789,0.002499889676723741,0.1387,0.0509,0.1386,0.0502,0.0508,0.0509,0.051,0.1386,0.0507,0.1386,0.1384,664,85,190,54,123,118,84,324,116,541,349
2019-03-11,111074.21872520447,296.2790946960449,0.0026673975121898797,0.1386,0.0507,0.1384,0.0503,0.0508,0.051,0.0508,0.1387,0.0508,0.1387,0.1387,665,84,190,54,123,118,84,326,116,540,348
2019-03-12,111541.8680973053,303.2809410095215,0.0027189874634782844,0.0584,0.058,0.1125,0.0576,0.0584,0.0585,0.0585,0.1591,0.0582,0.1589,0.1591,281,96,154,62,142,135,98,373,133,618,399
2019-03-13,112133.86268806458,258.8604564666748,0.002308494956485858,0.1387,0.0508,0.1381,0.051,0.051,0.0509,0.0509,0.1385,0.0508,0.1385,0.1384,666,84,188,55,124,117,85,326,116,539,348
2019-03-14,112068.86920166016,289.26183319091797,0.002581107806757748,0.1234,0.0528,0.124,0.0528,0.053,0.0527,0.0526,0.1445,0.053,0.1443,0.1442,590,87,169,57,129,121,88,340,122,560,364
2019-03-15,112336.62223815918,285.3548164367676,0.0025401762199312107,0.0559,0.0558,0.1515,0.0558,0.0557,0.0556,0.0558,0.1519,0.0555,0.1519,0.1521,266,91,206,60,135,128,94,357,128,593,385
2019-03-18,112336.7815208435,294.05410385131836,0.0026176119688524116,0.0565,0.056,0.1432,0.0563,0.0562,0.0564,0.0564,0.1534,0.0561,0.1534,0.1535,266,91,195,60,136,128,94,362,129,602,392
2019-03-19,112191.63928604126,276.8817367553711,0.002467935565585593,0.131,0.0482,0.1305,0.0482,0.0479,0.1034,0.0479,0.1309,0.0479,0.131,0.1308,621,78,176,51,116,235,80,312,110,515,333
2019-03-20,112055.33116340637,402.97308921813965,0.0035961973877931615,0.1385,0.0506,0.1386,0.0502,0.0507,0.0507,0.0506,0.1386,0.0509,0.1387,0.1385,670,82,188,53,123,114,85,329,117,542,349
2019-03-21,113155.7814617157,294.589319229126,0.002603396091862926,0.1386,0.0507,0.1385,0.0504,0.0508,0.051,0.0505,0.1387,0.051,0.1387,0.1386,679,81,189,53,123,115,85,329,117,538,348
2019-03-22,111510.58065795898,382.71359062194824,0.003432083201107718,0.1462,0.0533,0.0533,0.0529,0.0536,0.0919,0.0537,0.146,0.0536,0.1461,0.1459,726,86,73,56,128,210,91,339,125,561,367
2019-03-25,111464.8852481842,321.89659309387207,0.002887874440252168,0.1364,0.05,0.1365,0.0495,0.0499,0.0661,0.0497,0.1363,0.0501,0.1364,0.1362,680,81,187,52,119,151,84,316,117,523,343
2019-03-26,112305.0416355133,324.87663650512695,0.0028928054499949883,0.1368,0.0499,0.1364,0.0503,0.0504,0.0631,0.0502,0.1367,0.05,0.1367,0.1366,679,81,187,53,120,143,85,317,117,525,345
2019-03-27,111728.52938270569,433.8017234802246,0.003882640592129482,0.1386,0.0505,0.1381,0.0504,0.0509,0.0506,0.0505,0.1386,0.0506,0.1385,0.1387,687,82,190,53,121,115,85,322,118,531,351
2019-03-28,112014.83882522583,166.01876640319824,0.0014821140497486543,0.1374,0.0506,0.1374,0.0506,0.0506,0.059,0.0502,0.1375,0.0506,0.1375,0.1372,677,82,189,53,120,134,84,324,117,524,349
2019-03-29,112575.8840084076,393.046236038208,0.0034913892926557327,0.1387,0.0508,0.1384,0.0506,0.0507,0.0508,0.0505,0.1384,0.0508,0.1386,0.1384,685,82,189,53,120,116,84,326,117,531,353
2019-04-01,113463.6123008728,302.97628021240234,0.002670250612231493,0.0868,0.0549,0.1324,0.0546,0.0547,0.055,0.0548,0.1497,0.055,0.1498,0.1497,422,88,182,57,131,125,90,358,126,580,379
2019-04-02,113625.83876037598,361.50987243652344,0.0031815815520526702,0.1452,0.0531,0.0978,0.0526,0.0533,0.0532,0.0528,0.1451,0.0534,0.1451,0.1451,707,85,135,55,129,122,87,347,122,558,366
2019-04-03,113744.48132133484,372.1645698547363,0.003271935179020682,0.1239,0.0466,0.128,0.0462,0.0469,0.1278,0.0466,0.128,0.047,0.1279,0.128,602,74,177,48,114,296,77,307,106,493,322
2019-04-04,114035.89571762085,329.8448734283447,0.002892465318509153,0.1344,0.0494,0.1346,0.0493,0.0494,0.0769,0.0492,0.1347,0.0495,0.135,0.1348,651,79,187,51,120,177,81,325,111,523,338
2019-04-05,114720.25116539001,301.8000965118408,0.0026307482196560165,0.1387,0.0506,0.1383,0.0503,0.0509,0.051,0.0508,0.1385,0.051,0.1385,0.1387,675,81,192,52,124,116,84,333,115,536,349
2019-04-08,114584.60159683228,376.0641174316406,0.003281977789256781,0.136,0.0496,0.1017,0.0496,0.0499,0.1034,0.0495,0.1356,0.0498,0.136,0.1358,660,79,141,51,121,234,82,328,112,528,342
2019-04-09,114109.96757125854,274.1469612121582,0.0024024804059379033,0.1444,0.0527,0.1018,0.0532,0.053,0.053,0.0532,0.1444,0.0531,0.1444,0.1444,704,84,141,55,128,121,89,347,120,560,361
2019-04-10,114421.86687469482,271.2099552154541,0.002370263330106826,0.1274,0.0466,0.1275,0.0465,0.0468,0.1272,0.0465,0.1275,0.0468,0.1275,0.1274,621,74,177,48,113,290,78,308,106,492,318
2019-04-11,114456.75061416626,388.41976165771484,0.003393594170492206,0.1461,0.0534,0.0911,0.0533,0.0535,0.0535,0.0535,0.1459,0.0538,0.1462,0.1463,708,85,128,55,129,122,89,351,122,565,365
2019-04-12,115262.06349372864,287.3967761993408,0.0024934203630232418,0.138,0.0503,0.1379,0.0504,0.0504,0.0559,0.0508,0.1377,0.0506,0.1379,0.1377,661,80,197,52,122,128,84,332,114,534,343
2019-04-15,115060.9868774414,324.7596244812012,0.002822499904569068,0.0781,0.0547,0.1176,0.0545,0.0545,0.0831,0.0542,0.1487,0.0544,0.1487,0.1486,376,87,167,56,131,191,90,358,123,578,370
2019-04-16,114502.08945083618,348.6308307647705,0.003044755186886457,0.1387,0.0508,0.1386,0.0501,0.051,0.0506,0.0505,0.1385,0.0509,0.1386,0.1386,655,80,200,51,122,115,83,336,114,549,343
2019-04-17,113926.11342430115,383.5617370605469,0.0033667587310033764,0.1327,0.0488,0.1326,0.0484,0.0486,0.0906,0.0484,0.1325,0.0486,0.1328,0.1326,622,76,196,49,115,205,79,321,109,529,326
2019-04-18,114083.95924186707,310.5107841491699,0.0027217742635567404,0.1502,0.0547,0.0656,0.0553,0.0549,0.0558,0.0551,0.1501,0.0553,0.1503,0.15,707,85,97,56,130,127,89,364,124,595,369
2019-04-22,113977.03482055664,461.27232360839844,0.004047063729413712,0.0876,0.0536,0.1464,0.0531,0.0537,0.0538,0.0537,0.1468,0.0537,0.1468,0.1467,413,83,216,54,127,120,87,356,121,587,359
2019-04-23,114954.75925064087,382.87507247924805,0.003330658730226635,0.1385,0.0505,0.1385,0.0504,0.051,0.0506,0.0506,0.1386,0.0508,0.1387,0.1384,655,78,203,51,122,114,82,338,115,553,337
2019-04-24,114925.34692955017,339.8046245574951,0.002956742212540782,0.1467,0.0537,0.0893,0.0534,0.0536,0.0537,0.0536,0.1466,0.0536,0.1465,0.1464,694,83,131,54,128,123,87,355,122,580,358
2019-04-25,115008.11004447937,465.84811210632324,0.004050567494119819,0.1386,0.0504,0.1384,0.0501,0.0507,0.0509,0.0507,0.1384,0.0507,0.1387,0.1384,655,78,201,51,122,117,84,334,117,550,335
2019-04-26,115663.20048904419,327.32965660095215,0.0028300242014482157,0.1374,0.05,0.1307,0.0502,0.0505,0.0666,0.0501,0.137,0.0504,0.1373,0.1371,647,78,189,51,121,156,83,332,116,544,331
2019-04-29,115667.98406600952,428.3438911437988,0.0037032191284612614,0.1329,0.0487,0.1325,0.0481,0.0489,0.0895,0.0484,0.1329,0.0485,0.1329,0.1329,620,76,192,49,117,210,80,324,112,532,318
2019-04-30,115974.56758117676,259.33953285217285,0.0022361758983981323,0.1386,0.0506,0.1383,0.0508,0.051,0.051,0.0509,0.1385,0.051,0.1386,0.1385,647,79,200,52,121,120,84,333,117,550,340
2019-05-01,115143.28238677979,284.5108528137207,0.0024709288020643306,0.1344,0.0527,0.1154,0.0525,0.0528,0.0528,0.0528,0.1438,0.0526,0.1439,0.1437,628,82,166,54,126,126,87,347,122,567,352
2019-05-02,114975.70478820801,288.8548755645752,0.002512312284553183,0.0839,0.0538,0.144,0.0536,0.0542,0.0586,0.0541,0.147,0.0541,0.1472,0.147,391,84,206,55,129,142,89,355,126,578,361
2019-05-03,115939.38319015503,323.19421577453613,0.0027876137243585068,0.1294,0.0475,0.1139,0.0469,0.0474,0.1293,0.0475,0.1293,0.0473,0.1295,0.1292,603,74,163,48,113,313,78,313,110,509,317
2019-05-06,115535.63649368286,271.42189025878906,0.0023492482362671677,0.1408,0.0517,0.0761,0.0517,0.0517,0.1008,0.0515,0.1406,0.0515,0.1408,0.1405,658,81,108,53,123,243,85,341,121,554,344
2019-05-07,113902.13887405396,369.1392765045166,0.003240845871320189,0.1387,0.0507,0.1381,0.0507,0.0506,0.0509,0.0506,0.1384,0.0509,0.1386,0.1386,650,80,197,52,120,122,84,332,120,547,340
2019-05-08,113648.97495269775,210.70775985717773,0.0018540225280947512,0.1387,0.0508,0.1387,0.0508,0.0507,0.051,0.0507,0.1384,0.0509,0.1387,0.1387,650,80,197,52,120,122,84,336,120,546,340
2019-05-09,113437.7640838623,346.20299530029297,0.003051920126390643,0.1387,0.0505,0.0507,0.0507,0.0507,0.1387,0.0507,0.1385,0.0506,0.1386,0.1385,650,80,72,52,120,331,84,336,120,543,340
2019-05-10,114321.91243171692,273.6097297668457,0.0023933270879304917,0.1387,0.0509,0.1383,0.0504,0.051,0.0509,0.0505,0.1387,0.0509,0.1386,0.1386,651,81,198,52,120,122,84,333,120,541,342
2019-05-13,112401.49001121521,360.4376220703125,0.0032066979008405377,0.1483,0.0541,0.0781,0.0545,0.0543,0.0543,0.0541,0.1481,0.0544,0.1483,0.1482,705,88,112,57,127,130,91,346,129,569,371
2019-05-14,112999.55539512634,309.4686698913574,0.0027386715709565063,0.1415,0.0516,0.0843,0.0519,0.0517,0.0874,0.052,0.1417,0.0521,0.1415,0.1415,671,83,121,54,121,208,87,335,123,544,354
2019-05-15,113597.34693527222,285.2424964904785,0.002510996112021962,0.134,0.0488,0.0828,0.049,0.0493,0.1341,0.0488,0.134,0.0491,0.1339,0.1337,641,78,119,51,115,319,82,319,117,514,329
2019-05-16,114506.34742736816,310.00442123413086,0.0027073121115034075,0.1515,0.0557,0.0556,0.0549,0.0557,0.0591,0.0554,0.1514,0.0554,0.1513,0.1513,723,89,80,57,130,141,93,361,131,582,372
2019-05-17,114019.50838661194,250.4835147857666,0.0021968478756849135,0.1519,0.0555,0.0557,0.0557,0.0558,0.0558,0.0556,0.152,0.0557,0.152,0.1521,727,89,80,58,130,134,94,359,132,583,375
2019-05-20,113219.87960243225,265.866060256958,0.002348227724588099,0.1492,0.0549,0.0729,0.0547,0.0547,0.0546,0.0547,0.149,0.0548,0.1491,0.149,708,89,104,57,127,130,92,349,131,577,371
2019-05-21,114177.56100654602,357.07372093200684,0.0031273546026397876,0.152,0.0557,0.0555,0.0556,0.0559,0.0556,0.0554,0.1519,0.0556,0.1519,0.1518,720,90,79,58,131,132,93,358,132,588,377
2019-05-22,114040.414270401,307.816370010376,0.0026991867048160065,0.1387,0.0506,0.0509,0.0503,0.0506,0.1387,0.0509,0.1386,0.0507,0.1387,0.1385,660,82,72,53,118,334,86,324,121,534,344
2019-05-23,112909.58552360535,290.3134765625,0.002571203102165368,0.06,0.0563,0.0747,0.0559,0.0563,0.1232,0.0559,0.153,0.0563,0.1529,0.1528,287,92,105,59,130,304,95,351,135,580,381
2019-05-24,113046.56010818481,307.0161819458008,0.0027158383382208918,0.1466,0.0538,0.0548,0.054,0.0539,0.0874,0.0535,0.1465,0.0536,0.1466,0.1466,696,88,77,57,125,215,91,337,128,556,366
2019-05-28,112020.13631057739,276.1442222595215,0.0024651302109998134,0.1361,0.0498,0.1359,0.0494,0.0501,0.0686,0.05,0.1359,0.0498,0.1359,0.136,648,81,192,52,117,169,85,315,119,516,335
2019-05-29,111122.67415237427,362.07466888427734,0.003258332933815031,0.152,0.0555,0.0558,0.055,0.0557,0.0557,0.0555,0.1519,0.0557,0.152,0.152,719,90,79,58,130,137,94,354,132,579,375
2019-05-30,111275.61687278748,240.11416244506836,0.0021578326788300054,0.1353,0.0496,0.0546,0.0496,0.0494,0.0902,0.0497,0.1352,0.1139,0.1353,0.1351,643,80,77,52,115,225,84,316,270,513,333
2019-05-31,110329.91489982605,358.30837059020996,0.00324760851048907,0.1413,0.0516,0.1165,0.0513,0.0517,0.0568,0.0518,0.1414,0.0518,0.1413,0.1414,676,84,164,54,121,143,88,326,123,527,351
2019-06-03,110410.666721344,330.19211769104004,0.0029905816846879803,0.1503,0.0549,0.0662,0.0545,0.0553,0.0551,0.0551,0.1501,0.0551,0.1504,0.1501,715,91,93,58,128,137,93,343,127,559,385
2019-06-04,112103.44739341736,332.34310722351074,0.002964610945970121,0.152,0.0559,0.0556,0.0552,0.0558,0.0556,0.0555,0.1518,0.0558,0.152,0.1518,715,91,78,58,130,138,93,352,127,577,387
2019-06-05,113239.28995132446,346.1337127685547,0.0030566573926535494,0.1519,0.0554,0.0554,0.0558,0.0559,0.0556,0.0555,0.1518,0.0556,0.1521,0.1519,717,90,78,59,130,141,93,348,127,570,391
2019-06-06,113920.81172180176,230.0552043914795,0.002019430874081916,0.0866,0.0539,0.054,0.0539,0.054,0.1469,0.0541,0.147,0.0537,0.1469,0.147,410,87,76,57,125,368,91,337,122,553,379
2019-06-07,114614.44775390625,407.44302558898926,0.003554901092956694,0.1439,0.0527,0.1049,0.0524,0.0529,0.0534,0.0524,0.1438,0.0526,0.1439,0.1437,686,84,147,55,122,134,88,334,119,543,367
2019-06-10,114757.49141311646,314.0054111480713,0.0027362519629997887,0.1434,0.0525,0.0522,0.0528,0.0528,0.1082,0.0524,0.1434,0.0526,0.1435,0.1434,679,83,73,55,122,271,88,336,119,544,367
2019-06-11,114765.96647071838,241.05838775634766,0.002100434433389726,0.1369,0.05,0.0621,0.0501,0.0504,0.1368,0.0502,0.1371,0.0503,0.1371,0.137,648,79,87,52,116,342,85,323,114,519,349
2019-06-12,114617.60368347168,267.0718421936035,0.002330111899138547,0.1502,0.0548,0.0667,0.055,0.0549,0.0553,0.0551,0.1502,0.055,0.1503,0.1502,717,87,93,57,126,140,93,349,124,566,384
2019-06-13,115147.33007240295,295.8876953125,0.00256964442967501,0.1276,0.0572,0.0571,0.0572,0.0574,0.0572,0.0575,0.1563,0.0573,0.1564,0.1563,610,91,80,59,132,144,97,364,129,591,397
2019-06-14,115326.24836730957,374.52916717529297,0.003247562220028456,0.1353,0.0492,0.0739,0.0495,0.0495,0.1353,0.0495,0.1351,0.0495,0.1351,0.1351,646,79,104,51,114,343,84,312,112,509,343
2019-06-17,115574.10213279724,317.86819076538086,0.0027503409924841396,0.1315,0.0479,0.1311,0.0484,0.0484,0.0996,0.0481,0.1314,0.048,0.1314,0.1315,635,77,184,50,112,251,82,305,110,491,331
2019-06-18,116306.40746116638,411.43357849121094,0.0035374970947201234,0.1365,0.0497,0.0664,0.0494,0.0499,0.1351,0.0499,0.1365,0.0498,0.1366,0.1366,655,79,93,51,117,338,84,320,114,515,344
2019-06-19,116592.49913597107,285.3994388580322,0.002447837047606272,0.1274,0.0466,0.1272,0.0465,0.0466,0.1275,0.0468,0.1273,0.0468,0.1276,0.1273,614,74,177,48,109,320,79,297,108,479,321
2019-06-20,117656.31754112244,220.22942352294922,0.0018718027907509184,0.1394,0.0513,0.0508,0.0512,0.0513,0.1339,0.0513,0.1394,0.0509,0.1394,0.1392,675,81,71,53,120,332,86,326,117,525,352
2019-06-21,117584.35740852356,249.27473831176758,0.0021199651365675443,0.1475,0.0542,0.0841,0.0539,0.0541,0.0541,0.054,0.1473,0.0538,0.1474,0.1474,715,86,117,56,127,133,91,343,124,561,371
2019-06-24,117372.49317932129,224.39313888549805,0.0019118034626960764,0.1389,0.0506,0.1369,0.0508,0.0509,0.0509,0.051,0.139,0.0511,0.139,0.1389,675,80,191,53,119,126,86,323,117,531,348
2019-06-25,116370.89336395264,346.0718460083008,0.002973869461721439,0.1469,0.0539,0.0878,0.0537,0.0539,0.0537,0.0535,0.1467,0.0538,0.1467,0.1466,710,86,122,56,125,133,90,340,122,563,371
2019-06-26,115539.58631706238,264.3247833251953,0.002287742164835508,0.1406,0.0517,0.126,0.0513,0.0514,0.0516,0.0516,0.1407,0.0514,0.1407,0.1407,676,81,176,53,120,125,86,331,116,547,355
2019-06-27,116100.56028175354,252.6737518310547,0.002176335335659574,0.133,0.049,0.089,0.0485,0.0487,0.133,0.049,0.133,0.0487,0.1329,0.1331,637,77,124,50,114,326,82,314,110,515,335
2019-06-28,116914.19388771057,394.39598846435547,0.0033733798724485957,0.126,0.0512,0.1401,0.0512,0.0517,0.0516,0.0516,0.1406,0.0514,0.1407,0.1406,599,81,196,53,122,126,86,333,116,547,353
2019-07-01,117474.11424446106,329.31396484375,0.0028032896179872855,0.1385,0.0505,0.1387,0.0504,0.0509,0.051,0.0508,0.1383,0.0506,0.1387,0.1387,654,79,194,52,120,125,85,330,114,543,347
