date,portfolio_value,cash,w_c,w_Canada,w_France,w_Germany,w_Italy,w_Japan,w_Switzerland,w_UK,w_US,s_Canada,s_France,s_Germany,s_Italy,s_Japan,s_Switzerland,s_UK,s_US,purchases,sales
2012-01-03,100000.0,81.74043273925781,0.0008174043273925781,0.1625,0.0598,0.1626,0.0598,0.0671,0.1626,0.1625,0.1623,793,413,991,201,393,1172,839,162,99918.25956726074,0.0
2012-01-04,99232.13290119171,90.26500225067139,0.000909634808923747,0.0721,0.1963,0.1963,0.0722,0.1963,0.1,0.0941,0.0718,350,1358,1213,241,1147,728,483,71,31114.387000083923,31122.911569595337
2012-01-05,97339.34194087982,118.63801765441895,0.0012188085032100908,0.205,0.0753,0.083,0.0752,0.205,0.0754,0.0753,0.2046,982,517,527,249,1195,550,385,198,26654.4552154541,26682.82823085785
2012-01-06,96261.74582767487,109.99949073791504,0.0011427124014022467,0.0838,0.0839,0.0838,0.1863,0.0839,0.228,0.1325,0.1167,401,580,541,617,489,1674,674,112,31985.551427841187,31976.912900924683
2012-01-09,96590.83071422577,103.83720684051514,0.0010750213666525816,0.0754,0.0755,0.0755,0.2052,0.2053,0.0755,0.1969,0.0895,361,522,492,680,1192,552,1004,86,19784.824140548706,19778.661856651306
2012-01-10,97844.03815746307,72.57732677459717,0.0007417654477608181,0.0685,0.1861,0.1431,0.1861,0.0687,0.1861,0.0923,0.0684,328,1280,920,617,401,1350,471,66,28062.391496658325,28031.131616592407
2012-01-11,97620.78851413727,113.79749965667725,0.0011657096955347507,0.0702,0.0737,0.1908,0.0701,0.1521,0.1909,0.1814,0.0697,337,505,1221,233,893,1384,934,67,22289.004739761353,22330.224912643433
2012-01-12,98617.2021188736,154.0718240737915,0.0015623219961977087,0.2015,0.0862,0.1138,0.0739,0.1949,0.1465,0.1085,0.0732,972,586,718,249,1142,1062,564,71,19221.65892982483,19261.933254241943
2012-01-13,97329.24959087372,147.8033266067505,0.0015185910425493465,0.079,0.0791,0.0791,0.1611,0.2151,0.0791,0.0918,0.2142,379,544,504,535,1258,578,477,206,23977.02451324463,23970.756015777588
2012-01-17,98143.58785152435,45.89497756958008,0.0004676309331488052,0.1757,0.0677,0.0678,0.1843,0.1843,0.0678,0.0677,0.1843,845,456,427,617,1083,488,353,178,11912.895652770996,11810.987303733826
2012-01-18,99844.93076896667,137.50420570373535,0.0013771776358071626,0.0788,0.0789,0.2145,0.2145,0.0789,0.1604,0.0788,0.0936,381,528,1353,722,458,1148,412,91,29185.602821350098,29277.212049484253
2012-01-19,101384.02653694153,89.58062362670898,0.0008835772920704455,0.165,0.0712,0.0712,0.0711,0.1936,0.0999,0.1937,0.1334,805,478,442,241,1123,712,1019,131,36261.83744430542,36213.91386222839
2012-01-20,101471.82823753357,99.55623435974121,0.0009811219142193026,0.1732,0.1732,0.1732,0.0636,0.0636,0.1263,0.1626,0.0633,847,1164,1073,213,372,901,852,62,24256.151580810547,24266.12719154358
2012-01-23,102515.20833969116,157.19542980194092,0.001533386434538211,0.1219,0.0851,0.0851,0.1554,0.085,0.0851,0.1498,0.2309,592,573,524,524,499,607,788,229,28939.62441635132,28997.263611793518
