date,portfolio_value,cash,w_c,w_XLF,w_XLK,w_XLV,w_XLY,w_XLP,w_XLE,w_XLI,w_XLU,w_XLB,w_XLRE,w_XLC,s_XLF,s_XLK,s_XLV,s_XLY,s_XLP,s_XLE,s_XLI,s_XLU,s_XLB,s_XLRE,s_XLC
2015-01-02,100000.0,31660.36810684204,0.3166036810684204,0.0576,0.0577,0.1566,0.0885,0.0575,0.0575,0.0574,0.0867,0.0638,0.0,0.0,350,159,271,139,157,110,123,257,162,0,0
2015-01-05,98860.4150390625,11495.410724639893,0.11627920760900848,0.0623,0.0568,0.0564,0.0998,0.1548,0.069,0.1273,0.1048,0.1525,0.0,0.0,382,157,97,158,421,136,276,311,393,0,0
2015-01-06,98180.18981742859,11919.040588378906,0.12139964905897016,0.0676,0.0594,0.0858,0.1618,0.162,0.0594,0.1619,0.0611,0.0597,0.0,0.0,418,165,147,257,438,118,353,180,154,0,0
2015-01-07,99277.24415969849,30398.42679977417,0.3061973270619289,0.0559,0.0556,0.0555,0.0556,0.1517,0.0559,0.0558,0.1519,0.0558,0.0,0.0,346,155,94,88,408,112,122,448,144,0,0
2015-01-08,100359.45149993896,26055.549797058105,0.2596222817845308,0.0545,0.0544,0.1403,0.0749,0.1483,0.0545,0.0839,0.075,0.0545,0.0,0.0,336,150,236,118,397,108,182,222,139,0,0
2015-01-09,99726.96213912964,29771.90048599243,0.29853411602428526,0.0544,0.0542,0.1476,0.0543,0.0611,0.1481,0.0542,0.0544,0.0731,0.0,0.0,338,149,249,86,164,294,118,161,186,0,0
2015-01-12,99086.01102256775,10849.276769638062,0.10949352645921975,0.1453,0.0532,0.0991,0.1448,0.1055,0.0615,0.145,0.0611,0.0749,0.0,0.0,904,147,166,229,282,125,316,180,190,0,0
2015-01-13,98844.84653282166,33205.930545806885,0.33593992717446103,0.0614,0.0613,0.0614,0.0615,0.0615,0.0676,0.0611,0.1671,0.0614,0.0,0.0,382,169,103,97,164,138,133,490,157,0,0
2015-01-14,98682.30205154419,12363.895652770996,0.12528989895587386,0.168,0.0654,0.1043,0.1674,0.0618,0.0846,0.0618,0.0617,0.0999,0.0,0.0,1059,181,175,267,165,172,135,179,258,0,0
2015-01-15,97975.13237094879,13777.70761013031,0.14062453682599588,0.16,0.0693,0.0689,0.0692,0.0959,0.1883,0.0692,0.0692,0.0693,0.0,0.0,1014,193,116,111,254,385,151,198,178,0,0
2015-01-16,99335.86711025238,11500.528315544128,0.11577417754636148,0.0778,0.0569,0.0567,0.1545,0.0567,0.1544,0.0569,0.1155,0.1548,0.0,0.0,494,159,95,248,151,310,125,332,397,0,0
2015-01-20,99397.93926715851,30638.985557556152,0.3082456817862762,0.113,0.0707,0.0739,0.1164,0.0561,0.0563,0.0559,0.0561,0.0933,0.0,0.0,721,196,124,188,149,113,122,161,239,0,0
2015-01-21,99859.46835422516,22640.0004529953,0.22671861593220047,0.1311,0.0633,0.132,0.116,0.0773,0.0633,0.0635,0.0634,0.0636,0.0,0.0,838,176,222,187,205,125,138,181,162,0,0
2015-01-22,100923.27493572235,35537.43845844269,0.3521233182442439,0.0642,0.064,0.0637,0.0719,0.0912,0.0639,0.0638,0.1011,0.0641,0.0,0.0,405,177,107,115,242,127,138,293,163,0,0
2015-01-23,100531.17420101166,13085.858874320984,0.13016717429516803,0.1087,0.0639,0.1028,0.1053,0.1036,0.0637,0.1321,0.1262,0.0637,0.0,0.0,690,176,173,168,277,127,287,363,164,0,0
2015-01-26,100797.7447309494,31064.057753562927,0.308182071300102,0.0562,0.1528,0.056,0.0559,0.1119,0.0558,0.0561,0.0911,0.056,0.0,0.0,356,424,94,89,300,110,122,263,144,0,0
2015-01-27,99973.63170909882,31510.591584205627,0.3151890258012682,0.1264,0.0702,0.0901,0.0572,0.1119,0.0573,0.0572,0.0574,0.0573,0.0,0.0,803,199,151,91,301,112,125,164,147,0,0
2015-01-28,98969.94013786316,30513.346735954285,0.30830923706177654,0.0564,0.069,0.0564,0.0564,0.0954,0.0561,0.0563,0.124,0.1217,0.0,0.0,361,194,95,90,257,113,123,354,315,0,0
2015-01-29,99683.81344985962,11422.5046043396,0.11458735585075759,0.0563,0.0645,0.1272,0.1526,0.0561,0.0672,0.1526,0.056,0.1528,0.0,0.0,360,181,214,242,151,136,332,159,393,0,0
2015-01-30,98676.28245162964,24784.304973602295,0.25116780200704636,0.0603,0.0601,0.1584,0.0649,0.1448,0.0599,0.0795,0.0602,0.0606,0.0,0.0,388,169,268,103,393,119,174,173,155,0,0
2015-02-02,99525.1761932373,12119.950768470764,0.12177773737309204,0.0881,0.1436,0.0595,0.1368,0.061,0.1394,0.1076,0.06,0.0822,0.0,0.0,563,403,101,217,165,271,234,173,210,0,0
2015-02-03,100973.39505672455,29831.45872592926,0.29543880057881217,0.0541,0.054,0.0872,0.0539,0.147,0.0537,0.0539,0.1468,0.054,0.0,0.0,345,152,149,85,400,103,117,428,137,0,0
2015-02-04,100556.16760349274,27180.9606218338,0.27030625042326784,0.0914,0.0629,0.0789,0.0629,0.1713,0.0736,0.0629,0.0629,0.0629,0.0,0.0,582,176,136,98,464,143,137,185,160,0,0
2015-02-05,101340.37230587006,20265.0732793808,0.19997038513156282,0.0548,0.0773,0.0544,0.0909,0.0545,0.0901,0.1488,0.0801,0.1491,0.0,0.0,348,216,93,142,148,174,324,235,373,0,0
2015-02-06,100868.14559078217,17928.856530189514,0.17774547579100078,0.1296,0.1535,0.0647,0.0906,0.0652,0.0651,0.1238,0.065,0.0649,0.0,0.0,813,428,111,141,177,125,269,198,162,0,0
2015-02-09,100526.92181301117,30058.76009464264,0.29901204127740577,0.0546,0.0546,0.0768,0.0546,0.1485,0.0544,0.0544,0.1485,0.0546,0.0,0.0,343,152,133,85,405,104,118,455,136,0,0
2015-02-10,101399.35952472687,28231.52366733551,0.2784191517546132,0.051,0.051,0.1386,0.0509,0.1387,0.0508,0.051,0.1387,0.0509,0.0,0.0,321,141,238,79,377,98,111,420,127,0,0
2015-02-11,101153.23077487946,25620.948983192444,0.25328848902723516,0.0638,0.0866,0.0637,0.0633,0.1734,0.0902,0.0636,0.0784,0.0638,0.0,0.0,400,238,109,98,468,175,138,242,159,0,0
2015-02-12,101771.42620182037,12124.948521614075,0.11913902530528944,0.0584,0.0583,0.0583,0.1131,0.0581,0.1584,0.0924,0.1586,0.1254,0.0,0.0,365,159,100,174,157,305,200,495,309,0,0
