date,portfolio_value,cash,w_c,w_XLF,w_XLK,w_XLV,w_XLY,w_XLP,w_XLE,w_XLI,w_XLU,w_XLB,w_XLRE,w_XLC,s_XLF,s_XLK,s_XLV,s_XLY,s_XLP,s_XLE,s_XLI,s_XLU,s_XLB,s_XLRE,s_XLC
2013-01-02,100000.0,10840.918431282043,0.10840918431282043,0.1454,0.0533,0.0534,0.0972,0.0533,0.1449,0.1454,0.0533,0.1454,0.0,0.0,1337,211,161,232,207,314,471,227,487,0,0
2013-01-03,99863.77293300629,19987.896471977234,0.20015162540860673,0.1199,0.1305,0.0845,0.0656,0.0811,0.0656,0.1209,0.0658,0.0659,0.0,0.0,1103,519,254,156,315,142,391,280,222,0,0
2013-01-04,100314.51997184753,27602.67790412903,0.2751613416669441,0.0585,0.0583,0.0586,0.0584,0.1107,0.1047,0.0583,0.1591,0.0583,0.0,0.0,534,234,176,139,431,225,188,676,195,0,0
2013-01-07,99947.7513961792,31688.103261947632,0.31704668508589384,0.058,0.058,0.0831,0.058,0.1119,0.0639,0.058,0.1342,0.0578,0.0,0.0,529,232,248,138,437,138,187,574,193,0,0
2013-01-08,99764.66160106659,17388.436946868896,0.17429455147555972,0.0777,0.0776,0.0775,0.1403,0.0937,0.0772,0.1198,0.0843,0.0775,0.0,0.0,709,311,231,334,366,167,389,361,258,0,0
2013-01-09,100039.02918434143,24866.26298904419,0.24856561675766814,0.1387,0.0685,0.0684,0.0684,0.0818,0.087,0.0683,0.0683,0.1019,0.0,0.0,1271,275,202,163,320,189,220,294,338,0,0
2013-01-10,100567.46213531494,13255.685581207275,0.1318088902688184,0.0653,0.0653,0.0651,0.0815,0.0653,0.1581,0.1114,0.0792,0.1772,0.0,0.0,594,262,192,194,255,342,359,341,588,0,0
2013-01-11,100556.67335700989,13404.438446044922,0.13330232592773503,0.0659,0.0851,0.0658,0.179,0.0859,0.0741,0.1793,0.0658,0.0659,0.0,0.0,601,341,194,426,334,160,580,283,219,0,0
2013-01-14,100618.18002414703,13095.126671791077,0.13014672565781274,0.0813,0.1149,0.0641,0.064,0.0642,0.1744,0.0682,0.0642,0.1745,0.0,0.0,744,464,189,152,249,377,220,277,580,0,0
2013-01-15,100770.52732181549,13190.808666229248,0.13089947047814657,0.0873,0.0646,0.0646,0.0809,0.0645,0.1629,0.1733,0.0676,0.1034,0.0,0.0,797,263,191,191,250,351,558,291,344,0,0
2013-01-16,100651.63039398193,12144.351001739502,0.1206572705698131,0.0597,0.0597,0.0595,0.0783,0.0996,0.1624,0.1622,0.0694,0.1285,0.0,0.0,544,242,176,185,386,348,524,300,430,0,0
2013-01-17,101281.9952583313,10748.295560836792,0.10612247056766641,0.1417,0.052,0.0518,0.1198,0.0521,0.1414,0.1415,0.0519,0.1416,0.0,0.0,1300,211,153,282,202,303,455,225,473,0,0
2013-01-18,101740.07563018799,13066.744764328003,0.12843262287148213,0.1375,0.0634,0.0636,0.1313,0.0635,0.1051,0.1729,0.0635,0.0708,0.0,0.0,1266,259,188,310,246,224,554,274,236,0,0
2013-01-22,102239.53228759766,11397.872786521912,0.11148205133078988,0.078,0.0608,0.0547,0.1369,0.055,0.1494,0.1494,0.0549,0.1495,0.0,0.0,715,249,162,324,214,317,479,236,496,0,0
2013-01-23,102156.4441280365,14091.044322013855,0.137935931915886,0.0999,0.0682,0.0682,0.0681,0.0681,0.1622,0.0734,0.0687,0.1854,0.0,0.0,915,276,202,161,265,345,235,296,618,0,0
