date,portfolio_value,cash,w_c,w_XLF,w_XLK,w_XLV,w_XLY,w_XLP,w_XLE,w_XLI,w_XLU,w_XLB,w_XLRE,w_XLC,s_XLF,s_XLK,s_XLV,s_XLY,s_XLP,s_XLE,s_XLI,s_XLU,s_XLB,s_XLRE,s_XLC,purchases,sales
2014-01-02,100000.0,12603.411357879639,0.12603411357879638,0.168,0.1168,0.0622,0.169,0.062,0.0618,0.0681,0.1037,0.0622,0.0,0.0,1180,382,136,290,198,110,163,404,171,0,0,87396.58864212036,0.0
2014-01-03,99964.63961791992,10740.32508468628,0.10744124248071556,0.0802,0.1151,0.1005,0.1436,0.0526,0.0935,0.1156,0.0527,0.1387,0.0,0.0,559,378,219,247,168,167,276,206,382,0,0,19392.091789245605,17529.005516052246
2014-01-06,99680.4705619812,13090.322639465332,0.13132284153219145,0.0769,0.0646,0.0646,0.1159,0.0644,0.166,0.0643,0.0836,0.1684,0.0,0.0,534,212,141,200,206,295,154,325,465,0,0,14409.102634429932,16759.100189208984
2014-01-07,100125.0242767334,12668.45534992218,0.12652636482672014,0.0796,0.1479,0.154,0.1463,0.0613,0.0609,0.0879,0.0615,0.0742,0.0,0.0,555,483,334,252,196,108,210,238,206,0,0,22885.87944126129,22464.01215171814
2014-01-08,100153.97863197327,18198.010417938232,0.1817003245054179,0.0713,0.0692,0.0693,0.0689,0.1139,0.0779,0.0693,0.1685,0.1101,0.0,0.0,496,226,149,119,367,139,166,656,304,0,0,21362.1807346344,26891.73580265045
2014-01-09,100310.69327735901,14978.345546722412,0.14931952972657955,0.0922,0.1029,0.073,0.1138,0.086,0.0926,0.1148,0.0962,0.0792,0.0,0.0,640,339,156,197,276,166,274,373,220,0,0,16420.30742073059,13200.64254951477
2014-01-10,100577.69987487793,11995.506664276123,0.11926606672452184,0.1591,0.0616,0.1157,0.1543,0.0585,0.0584,0.0833,0.1315,0.0583,0.0,0.0,1109,203,247,267,188,105,199,504,162,0,0,18559.44565963745,15576.606777191162
2014-01-13,99399.29311656952,32142.44122028351,0.3233668994264253,0.0592,0.0638,0.0592,0.0699,0.1002,0.0591,0.0669,0.139,0.0593,0.0,0.0,414,210,126,122,320,107,160,532,165,0,0,5263.454351425171,25410.388907432556
2014-01-14,99988.53304004669,32863.16592121124,0.3286693475945799,0.06,0.0602,0.0852,0.0626,0.1201,0.0723,0.0693,0.0814,0.0602,0.0,0.0,419,196,180,109,384,130,165,313,166,0,0,6152.95104598999,6873.675746917725
2014-01-15,100193.7194480896,18885.505148887634,0.18848990987576045,0.1072,0.0701,0.0698,0.0925,0.0703,0.0702,0.0701,0.191,0.0702,0.0,0.0,741,226,148,161,225,127,166,737,193,0,0,20631.459608078003,6653.7988357543945
